"ID","select_reject_by (Wim/Christophe)","notes (Wim/Christophe)","select_reject_by (Kural)","notes kural","title","abstract","source_type","year","database","journal","volume","issue","start_page","end_page","doi","issn"
611," "," "," "," ","cybercrimes tendencies of the teenagers in the covid19 era assessing the influence of mobile games social networks and religious attitudes","Purpose: The teenager community is the most affected community by cybercrime in the COVID-19 era. Increasing social networks and facilitating teenager access to the Internet have increased the probability of cybercrimes. On the other hand, entertainment such as mobile and computer games is top-rated among teenagers. Teenagers' tendency to cybercrime may be influenced by individual, parent, social, economic and political factors. Studying the impact of social networks, mobile games and parents' religious attitudes on teenagers' tendency to cybercrimes in the COVID-19 era is the primary goal of this paper. Design/methodology/approach: The outbreak of COVID-19 caused a considerable change in the world and the lifestyle of all people. Information and Communication Technology (ICT) was also affected by the special conditions of this virus. Changes in ICT and rapid access to it have empowered individuals and organizations, and people have increased civic participation and interaction through ICT. However, the outbreak of COVID-19 has created new challenges for the government and citizens and may cause new crimes. Cybercrime is a type of crime that occurs in a cyber environment. These crimes range from invasions of privacy to crimes in which the offender vaguely paralyzes the macroeconomic. In this research, 265 students of high schools and universities are used for collecting data by utilizing a survey. Measuring actions have been done in all surveys employing a Likert scale. The causal pattern is assessed through a constructional equation modeling procedure to study the scheme's validity and reliability. Findings: The outcomes have indicated that social networks have no significant relationship with teenagers' tendency to cybercrimes in the COVID-19 era. Mobile games have a mild effect on teenagers' tendency to cybercrimes in the COVID-19 era, and parents' religious attitudes significantly impact teenagers' tendency to cybercrimes in the COVID-19 era. Research limitations/implications: Current research also has some restrictions that must be noticed in assessing the outcomes. First, sample research was selected from high schools and universities in one city. So, the size of the model is small, and the generalization of results is limited. Second, this research may have ignored other variables that affect the tendency of teenagers' to cybercrime. Future researchers intend to investigate the parents' upbringing system's impact on teenager's trend to cybercrime in the COVID-19 era. Future research can also examine practical factors such as parental upbringing, attitudes toward technology development and virtual addiction in the COVID-19 era. Originality/value: In this study, teenagers' tendency to cybercrimes in the COVID-19 era is investigated, and a procedure is applied depending on a practical occasion. This article's offered sample provides a perfect framework for influencing parents' social networks, mobile games and religious attitudes on teenagers' tendency to cybercrimes in the COVID-19 era. © 2021, Emerald Publishing Limited.","JOUR","2022","Web of Science",NA,NA,NA,NA,NA,"10.1108/K-07-2021-0582",NA
612," "," "," "," ","information technology in the investigation of riots","The use of information technology is a cross-cutting actively developing element in the method of investigating mass riots, which in modern conditions acts as a factor in the success of this work. The article reveals the features of the criminal prosecution of riots using information technology. The main areas of using automated data banks and information retrieval systems in the investigation of mass riots are determined. Domestic and foreign possibilities of using information technologies in the organization of investigative work, in accounting and control over the materials of criminal cases on mass riots, in fixing the circumstances of crimes and in proving them are shown. The structure of the program for making and supporting the decision to create a specialized investigative group designed to work in emergency conditions is determined. As part of such a group, it is proposed to immediately organize its own information center with its own databank of episodes and persons, taking into account the primary materials on the facts of riots using the programs intended for this. For the formation of information about the general situation of mass riots, special mathematical models for the study of space-time patterns are intended. Recommendations are formulated to survey a large area and recreate a unified picture of disturbances using quadcopters. To determine the involvement of a person in riots, it is recommended to compare data from various electronic sources, such as email correspondence, electronic documents and mobile communication log files, the history of search queries in web browsers, cards and payment systems, etc. The modern judicial practice of proving participation in mass riots using, along with photo and video materials, the corresponding fragments of records also placed in electronic means is assessed. © 2021 Saint Petersburg State University. All Rights Reserved.","JOUR","2021","Web of Science",NA,"12","2","334","355","10.21638/spbu14.2021.206",NA
613," "," "," "," ","blockchain in churn prediction based telecommunication system on climatic weather application","For better customer service and customer retention, businesses take proactive measures, including troubleshooting and solving potential challenges promptly. Blockchain technology integrates different recognition techniques of distributed pattern for monitoring database of a dedicated network and has proven a very promising technology. An automated pattern recognition decentralizes and distributes customized specific data. Machine learning, originated from artificial intelligence is primarily related to recognition of behavior patterns. Methods like knowledge discovery in database (KDD) and data mining focus on unsupervised approaches and are widely used in business and climatic weather applications. Blockchain addresses data-security concerns and builds trust by creating distributed ledger. Theft, willful fraud, software and hardware are considered by blockchain in data protection. Blockchain has greater significant feature as it makes the secure data access without enabling the central management entity. Two design features of blockchain technology help in this task. Recommended customer data pattern recognition technique using blockchain may eliminate all these problems. Two kinds of cryptographic algorithms employed in blockchain are asymmetric-key algorithms and hash functions. The current study analyzes the asymmetric cryptography approach along with key pair which supports in system security. Recurrent neural network (RNN) and support vector machine (SVM) classifier techniques consider both old customers and new customers as stable. The predictive model aids in identifying customers at churn risk in the telecommunication system. Existing proactive methods are unable to explain difficulties in customer interaction understanding and meeting their genuine needs. The proposed model organizes the customer situation and designs a customer proactive re-engagement over mobile-based telecommunication systems. Performance measures like churn prediction, classifier, confusion matrix, machine learning in the telecommunication system are used to evaluate and validate the results. © 2022","JOUR","2022","Scopus",NA,"35",NA,NA,NA,"10.1016/j.suscom.2022.100705",NA
614," "," "," "," ","fintech base of the pyramid entrepreneurs and social value creation","Purpose: Fintech is having a profound impact in Sub-Saharan Africa (SSA) because it offers more financial inclusion. In this paper, the authors examine the interrelationship of Fintech, base of the pyramid (BOP) entrepreneurs and social value creation, particularly in the SSA context. Design/methodology/approach: The current paper uses a qualitative research design with open-ended, in-depth interviews as the main data sources. The authors interviewed respondents from the Sierra Leone Fintech Association and four BOP entrepreneurs operating in different sectors. Findings: The authors find that Fintech services, specifically mobile money, play a significant role in reducing uncertainty surrounding business operations. FinTech also offers growth possibilities for BOP entrepreneurs and creates social value by providing transactional security, convenience and reducing physical cash robberies. At the same time, Fintech contributes to social value by enhancing BOP entrepreneurs as well as consumers' skills development. Research limitations/implications: This study highlights the importance of context-specific theorization when analyzing the interlinkage between BOP entrepreneurship, social value creation and Fintech. For example, the possibility of safety from a street robbery may not appear to be part of social value creation by a technological development like Fintech. However, in a country like Sierra Leone, which has experienced both a civil war and Ebola outbreak, insecurity has been one of the biggest concerns expressed by BOP inhabitants. Hence, scholars need to incorporate contextual elements of risk, uncertainty and volatility while theorizing on Fintech's application in BOP contexts. Practical implications: A key managerial implication relates to micro-firm entrepreneurs and information specific benefits. Fintech offers entrepreneurs the possibility to be in regular contact with customers and evaluate their purchasing patterns as well as emergent needs. Fintech offers BOP entrepreneurs a possibility to further develop their technological skills as learning to use such apps can be used as a basis for further skills development. From a policy perspective, our study highlights the importance of regulating Fintech charges so that the affordability is increased, which is expected to result in significantly more BOP entrepreneurs using these services. Social implications: The authors find that at the same time, Fintech contributes to social value by enhancing skills development of BOP consumers who interact with case firms. Originality/value: This paper is one of the first studies that specifically focuses on BOP entrepreneurship and social value creation by Fintech services in an SSA context. It is also one of the few studies that incorporates views from both entrepreneurs and the country's Fintech association, rather than focusing solely on either entrepreneurs or Fintech firms. Finally, there is a specific focus on BOP entrepreneurs engaging in micro-entrepreneurship. © 2021, Emerald Publishing Limited.","JOUR","2022","Web of Science",NA,"29","3","335","353","10.1108/JSBED-10-2020-0370",NA
615," "," "," "," ","from individual perpetrators to global mobilisation strategies the microfoundations of digital violence against women","A rich body of trans-disciplinary scholarship explores the relationship between technology, power, and gender injustice. However, political science analyses of violence against public-facing women have so far largely overlooked the peculiarities of technology-facilitated attacks. On the other hand, studies of digital gender-based abuse from the fields of psychology, criminology, gender and media studies mostly adopt an individual-level focus on either perpetrators or survivors. In the present chapter, I propose to connect these different streams of literature to provide a multi-level conceptualisation of digital violence against politically active women. Furthermore, I integrate a set of concepts and propositions from feminist and institutional theories, which I use to link micro-aspects of violent digital interactions to global patterns of white male radicalisation, as well as to the mobilisation strategies of political operators seeking to capitalise on the support of anti-feminist groups. In so doing, I shed light on emerging empirical trends, systematise existing knowledge, and advance theory-building efforts on the micro-foundations of patriarchal power and their ties to contemporary socio-political developments. © Springer Nature Switzerland AG 2021. All rights reserved.","CHAP","2022","Scopus",NA,NA,NA,"75","91","10.1007/978-3-030-83734-1_5",NA
616," "," "," "," ","2vgait gait recognition using 3d lidar robust to changes in walking direction and measurement distance","Gait recognition, which is a biometric identifier for individual walking patterns, is utilized in many applications, such as criminal investigation and identification systems, because it can be applied at a long distance and requires no explicit cooperation of the subjects. In general, cameras are used for gait recognition, and several methods in previous studies have used depth information captured by RGB-D cameras. However, RGB-D cameras are limited in terms of their measurement distance and are difficult to access outdoors. In recent years, real-time multi-layer 3D LiDAR, which can obtain 3D range images of a target at ranges of over 100 m, has attracted significant attention for use in autonomous mobile robots, serving as eyes for obstacles detection and navigation. Compared with cameras, such 3D LiDAR has rarely been used for biometrics owing to its low spatial resolution. However, considering the unique characteristics of 3D LiDAR, such as the robustness of the illumination conditions, long measurement distances, and wide-angle scanning, the approach has the potential to be applied outdoors as a biometric identifier. The present paper describes a gait recognition system, called 2V-Gait, which is robust to variations in the walking direction of a subject and the distance measured from the 3D LiDAR. To improve the performance of gait recognition, we leverage the unique characteristics of 3D LiDAR, which are not included in regular cameras. Extensive experiments on our dataset show the effectiveness of the proposed approach. © 2022 IEEE.","CPAPER","2022","Web of Science",NA,NA,NA,"602","607","10.1109/SII52469.2022.9708899",NA
617," "," "," "," ","the professional market of international criminal justice","This article analyses the division of labour and patterns of elite reproduction that characterize international criminal justice as a market of services. Using a sociological framework and building on empirical data on 996 professional agents, the analysis outlines how the market in and around the international criminal courts is structured by three different social groups that dominate the formal roles of judges, prosecutors and defence counsel. The article investigates the relative positionality of these groups highlighting the low degree of mobility between them. It also demonstrates the reproduction of male, global north professionals at the top of these groups, pointing towards intersectional dynamics of inclusion and exclusion in this market. To deepen the analysis of divisions of labour and reproduction of status, the article turns to a closer analysis of the patterns of expertise upon which elite status is built and how it links the three groups to the wider market of international criminal justice. The relations between the identified social groups, the elite of which have very particular characteristics dominated by global north professionals, educations and networks, structure a core part of the market of international criminal justice and formats the social fault lines behind its normative debates. © 2021 The Author(s). Published by Oxford University Press. All rights reserved.","JOUR","2021","Scopus",NA,"19","4","783","802","10.1093/jicj/mqab062",NA
618," "," "," "," ","cpfinder finding an unknown callers profession from anonymized mobile phone data","Identifying an unfamiliar caller's profession is important to protect citizens' personal safety and property. Owing to the limited data protection of various popular online services in some countries, such as taxi hailing and ordering takeouts, many users presently encounter an increasing number of phone calls from strangers. The situation may be aggravated when criminals pretend to be such service delivery staff, threatening the user individuals as well as the society. In addition, numerous people experience excessive digital marketing and fraudulent phone calls because of personal information leakage. However, previous works on malicious call detection only focused on binary classification, which does not work for the identification of multiple professions. We observed that web service requests issued from users' mobile phones might exhibit their application preferences, spatial and temporal patterns, and other profession-related information. This offers researchers and engineers a hint to identify unfamiliar callers. In fact, some previous works already leveraged raw data from mobile phones (which includes sensitive information) for personality studies. However, accessing users' mobile phone raw data may violate the more and more strict private data protection policies and regulations (e.g., General Data Protection Regulation). We observe that appropriate statistical methods can offer an effective means to eliminate private information and preserve personal characteristics, thus enabling the identification of the types of mobile phone callers without privacy concerns. In this paper, we develop CPFinder —- a system that exploits privacy-preserving mobile data to automatically identify callers who are divided into four categories of users: taxi drivers, delivery and takeouts staffs, telemarketers and fraudsters, and normal users (other professions). Our evaluation of an anonymized dataset of 1,282 users over a period of 3 months in Shanghai City shows that the CPFinder can achieve accuracies of more than 75.0% and 92.4% for multiclass and binary classifications, respectively. © 2021 Chongqing University of Posts and Telecommunications","JOUR","2022","Web of Science",NA,"8","3","324","332","10.1016/j.dcan.2021.08.003",NA
619," "," "," "," ","counterterrorism crime fighting forensics and surveillance technologies vi","The proceedings contain 20 papers. The topics discussed include: use of dopants for detection of vapors of explosives by laser field asymmetric ion mobility spectrometer; stationary two-unit detector of explosives with a light detector module based on traditional ion mobility spectrometry; photostability of luminophores sensitive to vapors of nitroaromatic compounds in a porous silicon microcavity; a simulation into the physical and network layers of optical communication network for the subsea video surveillance of illicit activity; speckle pattern analysis of security holograms and related foils for quality assessment and authentication; examination of fingerprint separation methods based on hyperspectral data measured from latent overlapping fingerprints; and a cognitive camera system for increasing face recognition performance in backlit conditions.","CONF","2022","Scopus",NA,"12275",NA,NA,NA,NA,NA
620," "," "," "," ","ampm 2021 proceedings of the 1st workshop on agentbased modeling and policymaking colocated with 34th international conference on legal knowledge and information systems jurix 2021","The proceedings contain 10 papers. The topics discussed include: applications of ABM in international legal research: the case of compliancee; dissecting crime through ABM. from theory testing to policy design; exploring the boundaries between law, ABM and policy-making: on the clash between formal and informal norms; at the boundary of law and software: toward regulatory design with agent-based modeling; empirically grounded agent-based policy evaluation of the adoption of sustainable lighting under the European ecodesign directive; simulating pandemic emergency scenarios considering mobility patterns through an agent-based model; portfolio optimization and trading strategies: a simulation approach; using agent-based simulation to investigate behavioral interventions in a pandemic using mobility data; using decentralized conflict-abduction-negation in policy-making; and multi-paradigm modelling for policy-driven socio-technical systems.","CONF","2022","Scopus",NA,"3182",NA,NA,NA,NA,NA
621," "," "," "," ","an advanced integrated approach in mobile forensic investigation","Rapid advancement of digital technology has encouraged its use in all aspects of life, including the workplace, education, and leisure. As technology advances, so does the number of users, which leads to an increase in criminal activity and demand for a cyber-crime investigation. Mobile phones have been the epicenter of illegal activity in recent years. Sensitive information is transferred due to numerous technical applications available at one’s fingertips, which play an essential part in cyber-crime attacks in the mobile environment. Mobile forensic is a technique of recovering or retrieving digital evidence from mobile devices so that it may be submitted in court for legal procedures. As a result, mobile phone data is essential for obtaining evidence in elements of mobile forensic data ana-lysis. So, in this paper, we offer a method for detecting suspect drug-dealing patterns in mobile devices utilizing forensic and Natural Language Processing (NLP) techniques. Machine Learning algorithms are used to uncover the pattern in an original dataset, and performance measurements are used to assess the suggested system. In our approach, Logistic Regression (LR) manifests 95% of the highest accuracy in terms of count vector whereas, the BiLSTM (Bidirectional Long Short Term Memory) also achieved 95% of accuracy in terms of TFIDF. © 2022, Tech Science Press. All rights reserved.","JOUR","2022","Web of Science",NA,"33","1","87","102","10.32604/iasc.2022.022972",NA
622," "," "," "," ","public transportation and fear of crime at brt systems approaching to the case of barranquilla colombia through integrated choice and latent variable models","Security perception and Fear of Crime (FoC) in urban scenarios have the potential to affect travel behavior, changing people's travel choices and patterns. In this sense, the feeling of being “safe” or “at-risk” in public transportation not only depends on observable factors like illumination, travel companionship or transport crowding, but also on unobservable individual-specific latent attributes, among which fear of crime constitutes a major issue to consider in transport security policy-making. This study aimed to describe the relationships among sociodemographic features, travel situations, system-design features, and the Fear of Crime at three different locations (buses, bus stops, and stations) of the BRT system of Barranquilla (Colombia). Using an image-based survey applied in Barranquilla, data was collected from a full-sample of 500 adult users (64% females and 36% males) of the system. It was estimated a hybrid choice model to include location-based fear of crime in public transportation perception of risk, along with attributes related to (e.g.) surveillance, crowding, time of the day, and companionship. The relation between fear of crime and perception of security in public transportation is negative and highly significant. FoC inside the bus has the highest negative effect on the utility, followed by bus stops and BRT Stations, for which it remains non-significant. Gender (being a female user) was the strongest FoC predictor. Moreover, it was found that the higher is the user's income, the lower is the fear of crime reported for each one of these three types of location. Overall, the inclusion of the fear of crime perception in the estimation of the hybrid choice model enhances the model fit. Also, the user-related findings of this study at different locations provide a better understanding of the decision-making process and the predictors of fear of crime in BRT systems. © 2021 The Authors","JOUR","2022","Web of Science",NA,"155",NA,"142","160","10.1016/j.tra.2021.11.001",NA
623," "," "," "," ","integrated approach to detect cyberbullying text mobile device forensics data","Mobile devices and social networks provide communication opportunities among the young generation, which increases vulnerability and cybercrimes activities. A recent survey reports that cyberbullying and cyberstalking constitute a developing issue among youngsters. This paper focuses on cyberbullying detection in mobile phone text by retrieving with the help of an oxygen forensics toolkit. We describe the data collection using forensics technique and a corpus of suspicious activities like cyberbullying annotation from mobile phones and carry out a sequence of binary classification experiments to determine cyberbullying detection. We use forensics techniques, Machine Learning (ML), and Deep Learning (DL) algorithms to exploit suspicious patterns to help the forensics investigation where every evidence contributes to the case. Experiments on a real-time dataset reveal better results for the detection of cyberbullying content. The Random Forest in ML approach produces 87% of accuracy without SMOTE technique, whereas the value of F1Score produces a good result with SMOTE technique. The LSTM has 92% of validation accuracy in the DL algorithm compared with Dense and BiLSTM algorithms. © 2021 CRL Publishing. All rights reserved.","JOUR","2021","Scopus",NA,"40","3","963","978","10.32604/CSSE.2022.019483",NA
624," "," "," "," ","deep learning approaches for continuous authentication based on activity patterns using mobile sensing","Smartphones as ubiquitous gadgets are rapidly becoming more intelligent and context-aware as sensing, networking, and processing capabilities advance. These devices provide users with a comprehensive platform to undertake activities such as socializing, communicating, sending and receiving e-mails, and storing and accessing personal data at any time and from any location. Nowadays, smartphones are used to store a multitude of private and sensitive data including bank account information, personal identifiers, account passwords and credit card information. Many users remain permanently signed in and, as a result, their mobile devices are vulnerable to security and privacy risks through assaults by criminals. Passcodes, PINs, pattern locks, facial verification, and fingerprint scans are all susceptible to various assaults including smudge attacks, side-channel attacks, and shoulder-surfing attacks. To solve these issues, this research introduces a new continuous authentication framework called DeepAuthen, which identifies smartphone users based on their physical activity patterns as measured by the accelerometer, gyroscope, and magnetometer sensors on their smartphone. We conducted a series of tests on user authentication using several deep learning classifiers, including our proposed deep learning network termed DeepConvLSTM on the three benchmark datasets UCI-HAR, WISDM-HARB and HMOG. Results demonstrated that combining various motion sensor data obtained the highest accuracy and energy efficiency ratio (EER) values for binary classification. We also conducted a thorough examination of the continuous authentication outcomes, and the results supported the efficacy of our framework. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","JOUR","2021","Web of Science",NA,"21","22",NA,NA,"10.3390/s21227519",NA
625," "," "," "," ","research on digital forensics method of 5g communication system in the future based on direct intermediate frequency sampling","To overcome the problems of low efficiency and poor security in the process of digital forensics, a digital forensics method based on direct if sampling for 5G communication system is proposed. In this method, the modulation parameters of the communication signal are obtained by the feature extraction algorithm of the receiver's in pulse signal, and the ontology model of digital forensics is constructed based on the ontology theory: analyse the disk image and judge the file category according to the pattern feature recognition results of the radiation source signal in 5g communication system; determine the hash value and information entropy, and generate the key index; summarise the digital forensics results and generate the digital forensics report. The simulation results show that the data processing efficiency is over 25/Mbps, and the successful attack rate in the security performance test is 2.89%. Copyright © 2022 Inderscience Enterprises Ltd.","JOUR","2022","Scopus",NA,"15","1","46","62","10.1504/IJAACS.2022.122945",NA
626," "," "," "," ","credit card fraud detection using neural network auto encoders","Nowadays, the Internet has become a crucial part of almost every area of our lives. Online transactions, purchases, and transactions are growing exponentially on e-commerce sites. Similarly, the number of online scammers increased, and the recent increase in credit card payments makes credit card fraud a very serious threat. Institutions lose huge sums of money every year due to fraud. As these agencies tighten their security measures, scammers are constantly looking for new ways to use their nefarious methods. Well-known online payment methods include credit and debit cards, internet banking, and mobile banking. Because of its easy usage, people tend to prefer credit card payments, and as a result, fraudulent transactions related to these types of transactions are increasing. In this article, we propose a method to detect credit card fraud transactions using a neural network autoencoder. The credit card fraud detection problem is generally considered a classification problem. This requires rebalancing any data imbalances present in the dataset. In this article, we propose to treat this problem as an outlier detection problem that does not require a solution. This article also describes various parameters to consider when training a model. We also published the experimental results and conclusions. The goal of our project is to develop a robust fraud detection system that is inherently dynamic and rapidly adapts to changing fraud patterns and requires little or no manual processing during model inference and training. The proposed system architecture provides estimates of the ROC AUC(area under the receiver operating curve) at 0.9212, 0.8976, 0.9378, 0.9489, and 0.9512 at all multiples, with a cumulative ROC AUC of 0.9314 without manual coding. © 2022 IEEE.","CONF","2022","Scopus",NA,NA,NA,NA,NA,"10.1109/ACCAI53970.2022.9752560",NA
627," "," "," "," ","progresses and challenges of crime geography and crime analysis","Crime Geography and spatial analysis of crime has gained great momentum lately, coupled with the advancement of geographic information science (GIScience) and big data in human mobility. According to (Liu in Oxford Bibliographies in Geogr 2021), crime geography and crime analysis normally cover spatio-temporal crime pattern detection, crime explanation, crime prediction, crime prevention and crime intervention assessment. The acronym of DEPPA captures these five elements. Pattern detection uncovers spatio-temporal patterns of crime distribution, such as crime hotspots. Crime explanation aims to discern major contributing factors based on multivariate regression modeling and machine learning. Crime prediction forecasts future crime patterns using machine learning and other predictivemethods. Crime prevention devises targeted intervention strategies such as hot spot policing, based on historical and future crime patterns. Assessment examines the effectiveness of crime prevention, to find out if crime is reduced in the targeted area and whether the nearby areas are affected by the intervention. This chapter summarizes some of the latest progresses and challenges of crime geography and crime analysis along the issues of the unit of analysis and spatial scale, comparison analysis, new data and new variables, crime prevention and assessment, and the spatio-temporal mismatch problem. © Higher Education Press 2022.","CHAP","2022","Scopus",NA,NA,NA,"349","353","10.1007/978-981-19-3816-0_37",NA
628," "," "," "," ","hybrid cnngru framework with integrated pretrained language transformer for sms phishing detection","Smartphones are prone to SMS phishing due to the rapid growth in the availability of smart mobile technologies driven by Internet connections. Also, detecting phishing SMS is a challenging task due to the unstructured nature of SMS text data with non-linear complex correlations. In this concern, considering the recent advancements in the domain of cybersecurity, we have proposed a hybrid deep learning framework that extracts robust features from SMS texts followed by an automatic detection of Phishing SMS. Due to combining the potential capability of individual models into one hybrid framework, it has outperformed various other individual machine learning and deep learning models. The proposed Phishing Detection framework is an effective hybrid combination of pretrained transformer model, MPNet (Masked and Permuted Language Modeling), with supervised ConvNets (CNN) and Bi-directional Gated Recurrent Units (GRU). It is intended to successfully detect unstructured short phishing text messages that contain complex patterns. © 2021 ACM.","CONF","2021","Scopus",NA,NA,NA,"244","251","10.1145/3508072.3508109",NA
629," "," "," "," ","investigating factors related to criminal trips of residential burglars using spatial interaction modeling","This study used spatial interaction modeling to examine whether origin-specific and destination-specific factors, distance decay effects, and spatial structures explain the criminal trips of residential burglars. In total, 4041 criminal trips committed by 892 individual offenders who lived and committed residential burglary in Tokyo were analyzed. Each criminal trip was allocated to an origin–destination pair created from the combination of potential departure and arrival zones. The following explanatory variables were created from an external dataset and used: residential population, density of residential burglaries, and mobility patterns of the general population. The origin-specific factors served as indices of not only the production of criminal trips, but also the opportunity to commit crimes in the origin zones. Moreover, the criminal trips were related to the mobility patterns of the general population representing daily leisure (noncriminal) trips, and relatively large origin-and destination-based spatial spillover effects were estimated. It was shown that considering not only destination-specific but also origin-specific factors, spatial structures are important for investigating the criminal trips of residential burglars. The current findings could be applicable to future research on geographical profiling by incorporating neighborhood-level factors into existing models. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.","JOUR","2022","Web of Science",NA,"11","6",NA,NA,"10.3390/ijgi11060346",NA
630," "," "," "," ","the impacts of covid19 lockdown on wildlife in deccan plateau india","The outbreak of the COVID-19 pandemic brought unprecedented changes in human activity via extensive lockdowns worldwide. Large-scale shifts in human activities bestowed both positive and negative impacts on wildlife. Unforeseen reduction in the activities of people allowed wildlife to venture outside of forested areas to exploit newfound habitats and increase their diurnal activities. While on a negative note, a reduction in forest-related law enforcement led to substantial increase in illegal activities such as poaching. We conducted mammal surveys in forested and nearby farmland of a fragmented landscape under two distinct scenarios: pre-lockdown and lockdown. An increase in poaching activities observed during the lockdown period in our study area provided us an opportunity to investigate the impact of the lockdown on wildlife. Camera trapping data of four highly poached mammalian species, namely black-naped hare Lepus nigricollis, wild pig Sus scrofa, four-horned antelope Tetracerus quadricornis and leopard Panthera pardus were considered to investigate activity patterns and habitat use, to understand the effect of lockdown. The pre-lockdown period was used as a baseline to compare any changes in trends of activity patterns, habitat use and detection probabilities of targeted species. Species-specific changes in activity patterns of study species were observed, with an increment in daytime activity during lockdown. The results showed species-specific increase in the habitat use of study species during lockdown. Reduction in the detection probability of all study species was witnessed. This is the first study to highlight the effect of the COVID-19 lockdown on the responses of wildlife by considering the changes in their temporal and spatial use before and during lockdown. The knowledge gained on wildlife during reduced human mobility because of the pandemic aid in understanding the effect of human disturbances and developing future conservation strategies in the shared space, to manage both wildlife and humans. © 2022 Elsevier B.V.","JOUR","2022","Scopus",NA,"822",NA,NA,NA,"10.1016/j.scitotenv.2022.153268",NA
631," "," "," "," ","migration control the local economy and violence in the burkina faso and niger borderland","The externalized European “migration management” in West Africa has technologically modernized and militarized border posts. This threatens visa-free travel, freedom of settlement and borderland economies in parts of the Economic Community of West African States (ECOWAS). It has interrupted historical mobility patterns, depleted the diversity of mobility practices and criminalized regional economies. At the same time, one can observe intensified and asymmetrical violent conflict in some of these borderlands. By taking the Kantchari-Makalondi borderland as a case study we analysed the relations between migration policies, insecurity, forced immobility and economic decline. Our observations and interviews with migrants, traders, security forces and borderlanders lead us to question conventional narratives on border control and African mobilities as a binary relation between Africa and Europe. Instead, they foreground the multiple practices of (im)mobility in these spaces: the circulation and blockage of travelers, merchandise, surveillance technologies, and military interventions and their impact on security and livelihoods. © 2021 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","JOUR","2022","Web of Science",NA,"37","2","235","251","10.1080/08865655.2021.1997629",NA
632," "," "," "," ","how to make cities the home of people a soul and body analysis of urban attractiveness","Cities – and, in general, urban agglomerations – have in recent years become foci of social science research and policy interest. Prominent attention has been given to agglomeration advantages, mobility patterns, urban decay, inequity problems, residents’ quality of life, safety and crime, labour and housing markets, public amenities, and urban planning issues. Less attention however, has been paid to the basic question: what makes the city a ‘real’ and attractive city? This question prompts essentially a research challenge on the ‘raison d'etre’ of cities, in particular on the residential satisfaction and quality-of-life motives of urban inhabitants. The present paper aims to pinpoint attractiveness characteristics of cities based on perceptions of urban quality by residents and their affinity with city life. This paper offers a micro-based (individual) assessment of motives and appreciations of citizens, in terms of their love for the city. A typological distinction will be made between the ‘soul’ of the city (its spirit, history, cultural identity, ambiance, social capital, etc.) and the ‘body’ of the city (its built environment, infrastructure, public amenities, supply of housing, green areas, etc.). The empirical analysis – applied to the four largest cities in Sweden (Stockholm, Gothenburg, Malmoe and Umea) – will be undertaken in two steps: (i) an exploratory statistical analysis of the findings from an extensive micro-based survey questionnaire among inhabitants in these four urban agglomerations; (ii) an explanatory evaluation of the individual appreciation scores using a regression approach. Our results show that the ‘City Love Index’ is a useful construct that can be decomposed into ‘soul’ and ‘body’ aspects of the city. Our multivariate regression analysis demonstrates clearly that both factors matter. More detailed results suggest that it is the perceptions regarding the city's ‘walkability’ and ‘vibrancy’, both part of the ‘soul’ of the city, that have a significant influence on the City Love Index - for all cities studied. © 2020 Elsevier Ltd","JOUR","2021","Web of Science",NA,"111",NA,NA,NA,"10.1016/j.landusepol.2020.104734",NA
633," "," "," "," ","the hybrid detection methodology of attacks for 5g","The telecommunications industry experiences a fundamental transition towards 5G networks. Based on our research, it can be concluded that 5G still faces security challenges. In the frame of our analysis, we have determined several security concerns. It must also be mentioned that lately, the scientists have found different security problems in the existing 5G networks that give hacker the opportunity to install the undesirable code into the 5G system and perform undesirable actions. The corresponding attacks are MNmap, MiTM and the Battery drain attack. Therefore, it is mandatory to design new architectures for 5G and the future networks, which can be defined as 6G ones, for this, it is obligatory to provide the new machine learning algorithms, which will give the scientists the opportunity to provide high-level security. The article analyzes the existing security problems of 5G architecture. Based on the research, a new cyber security model is offered, which is based AI/ML algorithms. It envisions the fundamental components, the firewall, intrusion detection and intrusion protection systems. We apply the offered security model into already existing architecture of 5G. The paper essentially describes an Intrusion Detection System (IDS), which is a part of proposed model. The IDS implements a comprehensive methodology for the identification of the attacks to which the 5G systems can be vulnerable. These attack patterns include MNmap, MiTM and the Battery drain attacks. The methodology is described in the paper. The article analyzes the efficiency of the described model, through the design and implementation of a comprehensive testing laboratory. In the laboratory there are a server and 50 raspberry pi, with fifty 4G modems, which are needed in order to make the simulation of the attacks on the corresponding server. The paper also suggests the improvement approach, which could be integrated into the system in future. © 2022, The Author(s), under exclusive license to Springer Nature Switzerland AG.","CHAP","2022","Scopus",NA,"119",NA,"65","74","10.1007/978-3-030-97064-2_7",NA
