"","select_reject_by (Wim/Christophe)","select_reject_by (Kural)","notes","title","abstract","year","authors","source_title","volume","issue","pages","doi","source","notes (Wim/Christophe)","notes kural"
"256"," "," "," ","how far to travel a multilevel analysis of the residence to crime distance","this study investigates whether individual- and area-level factors explain variation in the residence-to-crime distances (rc distance) for 10 offense types. five years of police data from dallas, texas, are analyzed using multilevel models (hierarchical-linear/multi-level modeling). residence-to-crime distances for dallas offenders varied notably across offense types. although several area characteristics such as residential instability and concentrated immigration were associated with the overall variance in rc distance, neither these nor the individual-level characteristics used in our models explained the offense-type variance in the rc distance. although individual- and neighborhood-level factors did not explain substantial variation in rc distance across the various offenses, neighborhood-level factors explained a significant portion of neighborhood-level variance. other finding included a curvilinear effect of age on rc distance. the salience of these findings and their implications for future research and offender travel theory are discussed.","2015","ackerman, jm; rossmo, dk","journal of quantitative criminology","31","2","237-262","10.1007/s10940-014-9232-7","WOS"," "," "
"257"," "," "," ","an investigation of anonymous and spoof sms resources used for the purposes of cyberstalking","in 2012, the united kingdom actively sought to tackle acts of stalking through amendments to the protection from harassment act 1997. now, not only is stalking a recognised criminal offence, acts associated with stalking behaviour have finally been properly defined in legislation. further, the role of technology in digital stalking offences, frequently termed as acts of cyberstalking, has been duly highlighted. the prosecution of such cyberstalking offences is reliant on the forensic analysis of devices capable of communication with a victim, in order to identify the offender and evidence the offending content for presentation to a court of law. however, with the recent proliferation of anonymous communication services, it is becoming increasingly difficult for digital forensic specialists to analyse and detect the origin of stalking messages, particularly those involving mobile devices. this article identifies the legal factors involved, along with a scenario-based investigation of sample anonymous and spoof sms (short message service) messages, documenting the evidence that remains on a victim's handset for the purpose of locating an offender, which often may be minimal or non-existent. (c) 2015 elsevier ltd. all rights reserved.","2015","horsman, g; conniss, lr","digital investigation","13",NA,"80-93","10.1016/j.diin.2015.04.001","WOS"," "," "
"258"," "," "," ","the agent based spatial simulation to the burglary in beijing","since the agent-based simulation tool was introduced into criminology research, most work concentrated on crime theory validation or hypothesis testing, little was contributed to crime spatial pattern replication. in this paper, using street network and subway network as the landscape and proposing a statistic-based instead of predefined human mobility pattern as the individual's routine activity, the spatial distribution of burglary in beijing is simulated and valid by the actual pattern. the result indicates that the agent-based modeling method partly detects the crime hotspots and the spatial pattern of crime, and specifically the crime level on the nodes with different accessibility is proved to be identical to the actual one. the study made in this work demonstrates that agent-based modeling is a potential tool to predict or explain crime pattern in space, and also some further work which aims to improve its validation is discussed in the end of this paper.","2014","peng, c; kurland, j","computational science and its applications - iccsa 2014, pt iv","8582",NA,"31-+",NA,"WOS"," "," "
"259"," "," "," ","transitory mobility cultural heterogeneity and victimization risk among young men of color insights from an ethnographic study in cape town south africa","the coupling of racial and economic stratification has been found to result in a range of adverse outcomes for youth of color, including disproportionate exposure to violence and victimization. primary explanations of these patterns, particularly at the micro-level, have focused on the impact of street culture. in this article, we draw from a multiyear ethnography in cape town, south africa, to offer a theoretical elaboration of the place of culture in contributing to victimization risks among urban minority young men. the study is based on data collected from a sample of 26 young men of color who lived on the cape flats between 2003 and 2006. using grounded theory methods, we suggest the import of unequal access to spatial mobility as a multifaceted means by which culture mediates young men's risks for victimization in disadvantaged communities. we find that transitory mobilityconceptualized as youth's temporary access to cultural spaces outside their segregated residential neighborhoodsis an important source of cultural heterogeneity in townships that can intensify the strength of local social identities and outgroup antipathies directed at those whose mobility is perceived as a cultural threat. transitorily mobile young men's cultural repertoires are a key facet of street efficacy that can either insulate them from risk or heighten their vulnerabilities. our findings are suggestive of important sources of variation in young men's victimization outcomes in disadvantaged communities, offering insights about factors that shape risks beyond those linked to the victim-offender overlap in high-risk settings.","2013","lindegaard, mr; miller, j; reynald, dm","criminology","51","4","967-1008","10.1111/1745-9125.12025","WOS"," "," "
"260"," "," "," ","journey during crime predicting criminal mobility patterns in sexual assaults","the aim of this study was to test whether there is a relationship between situational and modus operandi characteristics and criminal mobility during the sexual assault event. data collected from both police files and semistructured interviews with 72 serial sex offenders who have committed 361 sexual assaults have been used. negative binomial regression was used to identify the relationships between the situational and modus operandi characteristics and the criminal mobility exhibited during the sexual assault. events that involved child or adolescent victims, those where the offender did not use pornography prior to crime, and those where victim resistance was observed exhibited more criminal mobility. moreover, crimes in which the victim was selected, the victim was alone when approached by the offender, and the assault was characterized by sexual penetration and a lack of premeditation exhibited more criminal mobility. results seem to suggest that criminal mobility is a goal-oriented action taken by serial sex offenders to successfully complete their crime and to avoid detection and apprehension.","2013","beauregard, e; busina, i","journal of interpersonal violence","28","10","2052-2067","10.1177/0886260512471084","WOS"," "," "
"261"," "," "," ","need drugs will travel the distances to crime of illegal drug buyers","purpose: this study examines distances to crime among illegal drug buyers while controlling for buyer, drug, and destination characteristics. methods: geocoded arrests for drug buyers in an urban municipality, over a three year period, spatially identify major drug markets. negative binomial regression is used to model compositional characteristics of drug arrestees and contextual effects of markets on distance to arrest (n=4,082). results: trip distance to drug purchase arrest varies by drug market. being white, and having prior contact with the criminal justice system correlated with longer trip distances. additional compositional effects vary by drug type. conclusions: in line with prior journey to crime research and crime pattern theory, illicit drug buyers are arrested in close proximity of their homes. future research should consider the extent to which short aggregate market distances reflect policing differentials and close social ties. (c) 2013 elsevier ltd. all rights reserved.","2013","johnson, lt; taylor, rb; ratcliffe, jh","journal of criminal justice","41","3","178-187","10.1016/j.jcrimjus.2013.01.003","WOS"," "," "
"262"," "," "," ","the impact of drug market pulling levers policing on neighborhood violence an evaluation of the high point drug market intervention","pulling levers policing draws upon the focused deterrence framework, which has shown considerable promise when directed at youth, gun, and gang offenders. however, much less is known about the viability of pulling levers when applied to different contexts as well as to diverse groups of offenders. we examine the high point (north carolina) drug market intervention (dmi), the first site to use pulling levers as a place-based policing approach to disrupt a series of open-air drug markets across the city. eleven years of longitudinal data are analyzed by using difference-in-difference panel regression analyses combined with finite mixture estimation as a means to test for divergence in violent crime patterns. several key, although inconsistent, findings are presented. first, we found a statistically significant reduction in violent offenses in specific high-crime places (i.e., high-trajectory census blocks) located across the different targeted neighborhoods compared with the remainder of high point, and relative to comparable nontargeted areas. second, the citywide violent crime rate actually increased after a series of interventions unfolded, which may suggest limitations with the approach. finally, trend analyses indicated the strategy had different levels of violent crime impact throughout unique geographic contexts. policy implications rather than arresting every offender identified as having participated in illicit drug trafficking across various geographic contexts within the city, officials in high point decided to invite low-risk drug offenders to community notification sessions in order to change their perceived risk of punishment as well as to mobilize community members across the different targeted neighborhoods. the suggestive evidence of potential, although limited, violent crime impact illustrates that this type of policing strategy may hold considerable promise. this interpretation gains credence when considered with prior evaluations of the dmi approach that illustrated the potential for reducing drug-related crime and in light of reports of improved police-community relations. the inconsistent findings across all locations and the overall city increase in violent crime toward the end of the study period, however, raise several concerns when interpreting study results. additionally, our findings suggest that further replications should include systematic problem-identification, process measures, and more precise research designs.","2012","corsaro, n; hunt, ed; hipple, nk; mcgarrell, ef","criminology & public policy","11","2","167-+","10.1111/j.1745-9133.2012.00798.x","WOS"," "," "
"263"," "," "," ","does the mobility of foreign offenders fit the general pattern of mobility","research on offender mobility is directed to three main elements: distance, anchor points, and direction. previous research in geographical criminology has revealed that: (1) the journey to crime is limited in distance and follows a distance decay pattern; (2) the home of the offender plays a central role as the starting point of crime trips; and (3) the direction of the trip is influenced by the opportunities to commit crimes. the findings are more or less accepted as 'laws' in the field. however, research on offender mobility is often limited by its method, data and sample of arrested offenders. this study, in contrast, investigated a sample of arrested foreign offenders (east europeans) who were staying temporarily in belgium. they lack the space awareness and routine activities of residential offenders. using multiple methods and data, including police statistics, case file analysis and offender interviews, we investigated the travelling patterns of these offenders both quantitatively and qualitatively. the findings demonstrate that: (1) the degree of distance decay is much more moderate than generally found in the literature; (2) the official living address plays hardly any role at all as an anchor point; and (3) these offenders travel away from opportunity structures, which is different from the routine activity patterns of belgian offenders. overall, our findings indicate that offender mobility does not fit the accepted general pattern or 'laws' as assumed in previous research.","2012","van daele, s; vander beken, t; bruinsma, gjn","european journal of criminology","9","3","290-308","10.1177/1477370812440065","WOS"," "," "
"264"," "," "," ","take the car keys away metropolitan structure and the long road to delinquency","purpose: this research fulfills a void in offender mobility discourse. metropolitan socioeconomic and spatial structure, defined in crime pattern theory as the urban backcloth, plays a significant role in shaping travel behavior; and yet, current analysis of offender mobility continues to favor individual characteristics to account for travel range. methods: using a large sample of juveniles, both delinquent and at-risk youth (n=2,552), this study compared the predictive utility of individual characteristics against indicators of urban backcloth. results: delinquent youth were found to be more sensitive to the environmental conditions exerted by community-level socioeconomic characteristics than their at-risk counterparts. however, two factors-intercity hierarchical structure and motor vehicle access-accounted for travel variability among all youth. conclusions: offending behavior must be examined within the context of a dynamic environmental context formed by the metropolitan socioeconomic and spatial structure. delinquents constitute an identifiable subgroup of youth. (c) 2011 elsevier ltd. all rights reserved.","2012","bichler, g; orosco, ca; schwartz, ja","journal of criminal justice","40","1","83-93","10.1016/j.jcrimjus.2011.12.002","WOS"," "," "
"265"," "," "," ","identifying spatio temporal patterns of articulated criminal offending an application using phenomenologically meaningful police jurisdictional geographies","improving our understanding of the differentials, articulation and mobility of criminal offending within and between urban and rural areas may ultimately have important policy implications for the allocation of valuable federal, state and local resources. this paper introduces a new comprehensive place level system delineation, which corresponds directly to meaningful police jurisdictional coverage areas. this coverage allows for the implementation of a multivariate spatial econometric technique that has the potential to contribute to law enforcement's ability to combat criminal offending through the introduction of an algorithm for the tracking of the almost 'real time' spatial mobility of crime. the results suggest a more robust application of spatial clustering statistics in identifying spatio-temporal relationships in the spatial mobility of crime. it is expected that the ability to track criminal offending in a more 'real-time' manner can have direct implications on future research concerned with the simulation of crime-specific offending patterns. copyright (c) 2011 john wiley & sons, ltd.","2011","porter, jr","systems research and behavioral science","28","3","197-211","10.1002/sres.1076","WOS"," "," "
"266"," "," "," ","reassessing trends in black violent crime 1980 2008 sorting out the hispanic effect in uniform crime reports arrests national crime victimization survey offender estimates and us prisoner counts","recent studies suggest a decline in the relative black effect on violent crime in recent decades and interpret this decline as resulting from greater upward mobility among african americans during the past several decades. however, other assessments of racial stratification in american society suggest at least as much durability as change in black social mobility since the 1980s. our goal is to assess how patterns of racial disparity in violent crime and incarceration have changed from 1980 to 2008. we argue that prior studies showing a shrinking black share of violent crime might be in error because of reliance on white and black national crime statistics that are confounded with hispanic offenders, whose numbers have been increasing rapidly and whose violence rates are higher than that of whites but lower than that of blacks. using 1980-2008 california and new york arrest data to adjust for this hispanic effect in national uniform crime reports (ucr) and national crime victimization survey (ncvs) data, we assess whether the observed national decline in racial disparities in violent crime is an artifact of the growth in hispanic populations and offenders. results suggest that little overall change has occurred in the black share of violent offending in both ucr and ncvs estimates during the last 30 years. in addition, racial imbalances in arrest versus incarceration levels across the index violent crimes are both small and comparably sized across the study period. we conclude by discussing the consistency of these findings with trends in economic and social integration of blacks in american society during the past 50 years.","2011","steffensmeier, d; feldmeyer, b; harris, ct; ulmer, jt","criminology","49","1","197-251","10.1111/j.1745-9125.2010.00222.x","WOS"," "," "
"267"," "," "," ","all offenders are equal but some are more equal than others variation in journeys to crime between offenders","the results of this study reveal a major methodological problem with an established body of criminological literature-the journey to crime. the dominant finding of such research is that most crimes occur close to an offender's home. consequently, journeys to crime typically display a distance-decay function that is assumed to exist between and within offenders. however, most journey-to-crime studies use nested data-individual offenders contributing multiple crime trips-yet employ analytic methods that fail to account for this property, leading to inference and aggregation concerns. in the study outlined in this article, we demonstrated the implications of using nested data for analyzing the journey to crime. we showed that once controlling for nesting, only a few (prolific) offenders display a distance decay pattern. implications of the findings for theory and future research are discussed.","2010","townsley, m; sidebottom, a","criminology","48","3","897-917","10.1111/j.1745-9125.2010.00205.x","WOS"," "," "
"268"," "," "," ","journey to crime of itinerant crime groups","purpose - most researchers have found that property crimes have a local focus: offenders tend to operate in the vicinity of their residence. this has led the police to organise themselves to concentrate their resources in highly populated, urban areas, over the last decade mobile property offenders have been found in various western european countries that differ from this norm. these groups of mainly eastern european multiple offenders engaging in property crime tend to travel further than other offenders. as such, their operations differ from most criminals, challenging the way the police are organised and undermining criminological theories on journey to crime. the aim of this paper is to look at the specificity of mobility patterns of these groups, to examine the precise interpretation of their mobility and to consider the implications. design/methodology/approach - the paper uses the belgian police database containing all serious property crimes in belgium for the period 2002-2006. some basic offender characteristics have been identified and for these offenders journey-to-crime patterns have been established. findings - eastern european multiple offending groups tend to commit their crimes in rural areas. although they start their journey in regions considered crime importing, they carry out their crimes in crime exporting areas. as such, they are atypical, challenging traditional theories on journey-to-crime and the way in which police forces are organised. research limitations/implications - observing a special group is one thing, but explaining these differences is another. further research is needed, in particular with regard to the motivational aspects for these offenders. originality/value - whereas most researchers have found crime (including property crime) to be mainly local, the present research focuses on more mobile offenders. the challenges that these groups create for law enforcement authorities make it important for them and their patterns of activity to be understood.","2010","van daele, s; vander beken, t","policing-an international journal of police strategies & management","33","2","339-353","10.1108/13639511011044920","WOS"," "," "
"269"," "," "," ","organized fraud and organizing frauds unpacking research on networks and organization","this article examines the settings for frauds in the context of crime networks, fraud opportunities and of a victim-centric typology of fraud. it demonstrates the variety of actors, settings and the variable need for knowing collaboration between co-offenders in frauds of different types. it explores what is known about those involved in the organization of some forms of frauds; how they find both co-offenders and victims in face-to-face and remote settings; and the barriers to growth of the 'fraud business'. it concludes that the globalization of crime is part of contingent relationships between settings, with their rich and varied opportunities (reflecting patterns of business, consumer and investment activities), the variable abilities of would-be perpetrators to recognize and act on those opportunities (the 'crime scripts' perspective), and their interactions with controls (including, but not restricted to, law enforcement). constructs of 'organized crime' are becoming less obsessed with the structure of groups than with what people need from the largely illicit and largely licit worlds before they commit fraud. although some frauds are committed by generic transnational 'organized crime' networks, others are merely mobile small groups or individuals who can transplant techniques wherever they go; and others still commit very large one-off frauds without a need for long-term or any involvement in 'organized crime'.","2008","levi, m","criminology & criminal justice","8","4","389-419","10.1177/1748895808096470","WOS"," "," "
"270"," "," "," ","criminal mobility and criminal achievement","this study examines the impact of criminal mobility on criminal earning patterns in a sample of incarcerated offenders who reported their criminal experiences over a three-year period. criminal mobility is indicated by an individual's offending perimeter and not the traditional journey-to-crime measure. findings reveal that the offending perimeter length is a factor of criminal achievement in that mobile offenders reported higher financial earnings from crime than immobile offenders. greater distances traveled for crime were also generally associated with higher criminal earnings, but this was more salient for predatory offenders than market offenders.","2008","morselli, c; royer, mn","journal of research in crime and delinquency","45","1","4-21","10.1177/0022427807309630","WOS"," "," "
"271"," "," "," ","sex offender community notification and community stratification","community notification laws have been passed by the federal government and legislature of every state. at the very least, these laws require local law enforcement officials to publicize the personal and residential information of known sex offenders. although researchers and other social commentators have begun to assess the effects of community notification on targeted sex offenders and on criminal justice practices and practitioners, the potential consequences of the policy for different types of communities have received only scant attention. using sex offender registry and us census data for two states (nebraska and oklahoma), we examine the relationship between community characteristics and the residential patterns of sex offenders. findings from mapping and regression analyses suggest a greater concentration of sex offenders in disadvantaged communities than in more affluent communities. to the extent that community notification allows residents of more affluent communities to mobilize resources in order to remove identified sex offenders, it may increase the geographical clustering of these offenders in areas already facing a greater risk and having fewer resources to manage the problem. implications of findings in terms of concentrated disadvantage are discussed.","2008","hughes, la; kadleck, c","justice quarterly","25","3","469-495","10.1080/07418820701710941","WOS"," "," "
"272"," "," "," ","spatial characteristics of serial sexual assault in new zealand","this study examines the crime patterns of new zealand serial sexual assualters in order to determine the extent to which such offenders display spatial behaviour in line with their overseas counterparts. hypotheses concerning journey to crime, criminal range and spatial pattern were tested. geographical information on 76 serial offenders was extracted from police files and mapped. a series of spatial analyses were conducted in order to examine the spatial mobility of the offenders. it was found that, in line with much overseas research, offenders typically did not travel very far to offend (a median of 3 km) and operated over identifiable criminal ranges. however, in contrast to much overseas research into serial spatial patterns, new zealand offenders were characterised by transience and commuting patterns of behaviour rather than a predominant marauder style. the implications of these findings for geographic profiling are discussed.","2006","lundrigan, s; czarnomski, s","australian and new zealand journal of criminology","39","2","218-231","10.1375/acri.39.2.218","WOS"," "," "
"273"," "," "," ","the influence of purchase price and ownership levels on theft targets the example of domestic burglary","in this paper, we use police recorded crime data and purchase price information to investigate patterns in property stolen during domestic burglaries. we test the hypotheses that frequently stolen items are 'craved' (clarke 1999) and that the levels at which items are stolen vary over time, according to a product's position in the consumer goods life cycle of innovation, growth, mass market, saturation (felson and clarke 1998). we focus on audio-visual equipment and mobile telephones, comparing the trends with those for cash. the results show that the prevalence of theft of the products considered has changed significantly over the period studied, consistent with the life cycle hypothesis. the crime prevention implications of these findings are discussed and suggestions for further research considered.","2005","wellsmith, m; burrell, a","british journal of criminology","45","5","741-764","10.1093/bjc/azi003","WOS"," "," "
"274"," "," "," ","traveling to violence the case for a mobility based spatial typology of homicide","according to routine activities theorem crime is the result of an intersection between victims and offenders in both time and space. we introduce a spatial typology that identifies five combinations of victim and offender mobility to homicide incident locations: internal, predatory, intrusion, offense mobility, and total mobility types. the authors' argue that the joint mobility pattern of the victim and offender is the mechanism underlying routine activities theory, and made explicit by the spatial typology. using information on the 420 homicides in pittsburgh, pennsylvania, between 1987 and 1995, we demonstrate that the majority of homicides involve at least some mobility oil the part of victims and/or offenders. our results also indicate that mobility to homicide incident locations is most associated with event characteristics such as motive, rather than with characteristics of the participants. with most offenders committing the homicide outside of their own neighborhood, levels of lethal violence in a community are influenced more by the interaction among nonlocal participants than by the violent actions of local residents.","2005","tita, g; griffiths, e","journal of research in crime and delinquency","42","3","275-308","10.1177/0022427804270051","WOS"," "," "
"275"," "," "," ","investigating potential differences between cocaine users and distributors using the ion mobility spectrometer","this article examines the possibility of using the ion mobility spectrometer (ims) to discern the difference between persons who distribute cocaine and those who do not distribute cocaine based on their patterns of cocaine contamination. criminal justice practitioners who monitor offenders rely primarily upon urinalysis to defect drug use by their clientele. however, since drug distribution is a profitable enterprise for many, persons may continue to engage in drug sales even after desisting from use, in this paper we attempt to determine whether or not a distinct contamination profile exists for persons who admit continued involvement in drug sales and drug sales and use when contrasted to those who deny drug sales but continue to use or deny any drug involvement whatsoever. the findings of our examination and analysis are only moderately supportive of the discernable difference between users and distributors but sufficient, in our view, to continue examining the technology for a potential application to this problem.","2000","mieczkowski, t; hussey, b; mumm, r; connick, hf","journal of drug issues","30","1","147-169","10.1177/002204260003000109","WOS"," "," "
"276"," "," "," ","brain activity patterns reflecting security perceptions of female cyclists in virtual reality experiments","active transportation, such as cycling, improves mobility and general health. however, statistics reveal that in low- and middle-income countries, male and female cycling participation rates differ significantly. existing literature highlights that women's willingness to use bicycles is significantly influenced by their perception of security. this study employs virtual reality (vr) cycling simulation and electroencephalography (eeg) analysis to investigate factors influencing female cyclists' perceptions of security in tehran. a total of 52 female participants took part in four scenarios within a vr bicycle simulator, which simulates various environmental settings. in this experiment, participants' brainwave signals are gathered through an eeg device, and a questionnaire with their stated preferences is filled out. the gaussian mixture approach is used to cluster brainwave patterns based on security perception from eeg data. subsequently, four supervised machine learning methods, random forest, support vector machine, logistic regression, and multilayer perceptron, are utilized to classify influential factors on security perception using clustered eeg data. consequently, the support vector machine model, with an f1 score of 0.74, appears to be the most effective technique for the classification of environmental and surveillance factors. furthermore, the selectkbest algorithm determines that factors such as the presence of obstacles like kiosks, cycling routes passing through tunnels and underpasses, the level of incivility in the urban cycling environment, and the presence of informal surveillance have the biggest impact on female cyclists' security perception.","2025","bidgoli, ma; behmanesh, a; khademi, n; thansirichaisree, p; zheng, zd; tehrani, ssm; mazloum, s; kongsilp, s","scientific reports","15","1",NA,"10.1038/s41598-024-81271-8","WOS"," "," "
"277"," "," "," ","laser desorption ion mobility spectrometry of explosives for forensic and security applications","background: the detection of explosives in crime scene investigations is critical for forensic science. this study explores the application of laser desorption (ld) ion mobility spectrometry (ims) as a novel method for this purpose utilising a new ims prototype developed by masatech. methods: the ld sampling technique employs a laser diode module to vaporise explosive traces on surfaces, allowing immediate analysis by ims without sample preparation. chemometric approaches, including multivariate data analysis, were utilised for data processing and interpretation, including pre-processing of raw ims plasmagrams and various pattern recognition techniques, such as linear discriminant analysis (lda) and support vector machines (svms). results: the ims prototype was validated through experiments with pure explosives (tnt, rdx, petn) and explosive products (semtex 1a, c4) on different materials. the study found that the pre-processing method significantly impacts classification accuracy, with the pca-lda model demonstrating the best performance for real-world applications. conclusions: the ld-ims prototype, coupled with effective chemometric techniques, presents a promising methodology for the detection of explosives in forensic investigations, enhancing the reliability of field applications.","2025","felizzato, g; sabo, m; petrìk, m; romolo, fs","molecules","30","1",NA,"10.3390/molecules30010138","WOS"," "," "
"278"," "," "," ","an analysis of the spatial and temporal variations of human trafficking in india","human trafficking is one of the most rapidly increasing forms of transnational crime. globally, an estimated 25 million adults and children are subjected to modern slavery or human trafficking. in india, approximately 7 thousand cases of human trafficking have been reported as of 2021 (ilo, 2022). the present study aims to contextualize the changing levels and patterns of human trafficking by integrating demographic and spatial dimensions by considering the dynamics of human trafficking with space, population, time, and circumstances in india. the study uses information from human trafficking cases reported by police records data accessed from indiastat (www.indiastat.com), an online repository supervised by the ministry of women and child development, government of india. the present study deploys descriptive statistical techniques to accomplish the objectives, as the descriptive design provides a detailed and accurate data representation. location quotient (lq) mapping is used to detect the degree of victimization by human trafficking for 2021. the volume of human trafficking remained stagnant (above five thousand) until 2017, but it decreased in 2020 due to the covid-19 lockdown restricting human mobility. forced labor (43%) and sexual exploitation (33%) are the leading causes of trafficking in india. rajasthan (80.8%) male victims and maharashtra (94.0%) female victims reported the highest reported cases of human trafficking by gender. the highest concentration of human trafficking concerning its population is in goa lq value: 8.18). child rights protection measures and robust anti-trafficking policies should be established as major policy measures for the indian government.","2024","dakua, t; rahaman, m; das, kc","cogent social sciences","10","1",NA,"10.1080/23311886.2023.2293315","WOS"," "," "
"279"," "," "," ","the impact of covid 19 lockdown on fraud in the uk","the covid-19 pandemic profoundly altered socio-economic activities, human behaviors, and crime patterns. however, less is known about how the pandemic and associated restrictions affected cyber-enabled and traditional fraud. here, we conducted a retrospective analysis using police-recorded crime data in the uk to examine the impact of covid-19 restrictions and changes in human activity on fraud. results indicate that following the onset of the lockdown, the number of recorded fraud cases increased by 28.5%, contrasting with traditional property crimes, which dropped by 28.1%. however, the lockdown did not have a significant impact on the long-term trend of fraud. with the lifting of restrictions, fraud gradually regressed to levels approaching those before the pandemic. by inspecting the effects of different government responses and changes in population mobility on various types of fraud, we found that more stringent restrictions were associated with larger increases in most types of cyber-enabled fraud, except for those that rely on offline activities, whereas the impact on traditional fraud was mixed and contingent upon specific opportunity structures. these findings overall align with the assumptions of routine activity theory and provide clear support for its applicability in fraud and cybercrime.","2024","chen, s; ding, fy; buil-gil, d; hao, mm; maystadt, jf; fu, jy; dong, jp; gao, cd; zhuo, j; jiang, d","humanities & social sciences communications","11","1",NA,"10.1057/s41599-024-04201-z","WOS"," "," "
"280"," "," "," ","do neighborhoods have boundaries a novel empirical test for a historic question","do neighborhoods have boundaries? scholars have debated how neighborhoods should be operationalized for decades. while recent scholarship has de-emphasized boundaries, i argue that boundaries are focal to understanding what neighborhoods are and why they are so segregated. relying on everyday mobility patterns data from a panel of 45 million nationally representative devices, i demonstrate that divisions between contiguous census block groups in terms of everyday mobility patterns align with divisions in race, educational attainment, occupation, and age. employing a novel clustering procedure, i further demonstrate that sets of census block groups can be easily separated in terms of differences in mobility patterns, indicating that meaningful clusters and boundaries within cities do exist. subsequent results indicate these clusters are uniquely segregated in terms of race, educational attainment, and age, highlighting how other spatial aggregations can underestimate true segregation. additional results suggest that unique social processes divide these clusters from one another, as indicated by exceptional variation in both covid-19 case incidence and criminal offense timing. while i do not believe these clusters represent objective neighborhoods, i do assert that they can serve as a useful geographical unit for social analyses. these clusters may also be useful for measuring segregation in mobility patterns as well as for studying mobility network resiliency.","2024","vachuska, k","plos one","19","12",NA,"10.1371/journal.pone.0313282","WOS"," "," "
"281"," "," "," ","the feeling of safety by pedestrians at night an overlooked aspect of climate change","as the climate becomes more extreme and heat waves become more prevalent, the effects of climate change spill over into previously unnoticed areas. one such prominent result of global warming is the adverse effect of outdoor weather on pedestrians at night. to investigate this rather overlooked effect, we carried out a large-scale field study in 232 different locations in three different cities in israel-tel aviv-yafo (106 locations), haifa (49 locations), and beersheba (77 locations). the study, involving 30,216 observations on the feeling/s of safety (fos) performed by 491 participants, started in august 2019 and lasted almost one year. as the study reveals, people feel safer, with all other factors being constant, when the temperature is moderate and humidity is high. according to the study findings, if temperature increases from 25 degrees c to 30 degrees c, illumination should be increased by similar to 20 lx to maintain the same level of fos. however, if the temperature drops, less illumination can be supplied, which makes a case for smart illumination policies. as providing sufficient fos is important for an active life outdoors, this study generates knowledge that can help support active and secure mobility in urban areas and beyond. as temperatures rise and humidity patterns change, our findings may have broad implications for urban areas worldwide, both in israel and beyond.","2024","saad, r; portnov, ba; kliger, d","sustainability","16","23",NA,"10.3390/su162310402","WOS"," "," "
"282"," "," "," ","an automated threat intelligence framework for vehicle road cooperation systems","vehicle-road cooperation systems (vrcss) use next-generation internet technologies, including 5g, edge computing, and artificial intelligence to improve mobility, comfort, and travel efficiency. internet of vehicles (iov) ecosystem serves as the technological backbone for vrcs by enabling seamless communication and data exchange between vehicles, infrastructure, and traffic management centers. this enables real-time, high-speed communication, efficient data processing, and enhanced security, fostering the development of autonomous driving, smart traffic management, and seamless connectivity within the vrcs ecosystem. at the same time, cyber attacks have become more complex, persistent, organized, and weaponized in iov network. threat intelligence (ti) has emerged as a prominent security approach to obtain a complete view of the dynamically growing cyber threat environment. on the other hand, modeling ti is a challenging task due to the limited labels available for different cyber threat sources. second, most of the available designs require a large investment of resources and use handcrafted features, making the entire process error-prone and time-consuming. to tackle these challenges, this article presents timif, a deep-learning-based ti modeling and identification framework for intelligent iov and is based on three key modules: first, the proposed timif adopts an automated pattern extractor (ape) module to extract hidden patterns from iov networks. employing its output, we design a ti-based detection (tibd) module to detect abnormal behavior and ti-attack type identification (tiati) module to identify attack types. extensive experiments are carried out on three different publicly intrusion data sources, namely, hcrl-car hacking, ton-iot, and cicids-2017 to illustrate the utility of the timif framework over some commonly used baselines and state-of-the-art techniques.","2024","kumar, p; kumar, r; jolfaei, a; mohammad, n","ieee internet of things journal","11","22","35964-35974","10.1109/jiot.2024.3397652","WOS"," "," "
"283"," "," "," ","bricks or cooks geographical and social determinants of the investment choices of mafia type organized crime","this article studies legitimate businesses confiscated from mafia groups in italy to assess whether mafia investment patterns across industries depend on the characteristics of the geographical environment in which infiltrated firms operate. we carry out a spatial regression analysis of more than 1700 firms, with special emphasis on restaurants/hotels and construction, confiscated from mafia groups in italy against a set of variables related to the social and criminal environment (with a special emphasis on mafia presence) after controlling for the local business structure and the economic/financial composition of the areas. ceteris paribus, mafia investments in the construction industry are greater in regions with a higher level of mafia presence, infiltration of public administration and more protected markets; while investments in bars, restaurants and hotels are greater in areas characterized by less rooted mafia presence, higher violence, higher trade openness and cash intensity. the results suggest that mafia investments in construction can benefit from the opportunities offered by grip on the territory and on the public administration; and those in restaurants by concealment drivers, such as money laundering. this article contributes to the understanding of the geography of mafia economy and of the mobility of mafia groups beyond territories of origin, by highlighting the possible instrumental use of legitimate businesses, and the relationship between mafias' migration and infiltration mechanisms.","2024","riccardi, m; maggioni, ma","criminology & criminal justice",NA,NA,NA,"10.1177/17488958241293927","WOS"," "," "
