"Title","Subtitle","Author","Publication","SourceType","Publisher","Volume","Issue","PubDate","AlphaDate","StartPage","EndPage","PageRange","ISSN","EISSN","ISBN","Language","Abstract","DocumentUrl","DOI"
"The Influence of Intra-Daily Activities and Settings upon Weekday Violent Crime in Public Spaces in Manchester, UK","","Won, Lee, Do; Haleem, Muhammad Salman; Ellison, Mark; Bannister, Jon","European Journal on Criminal Policy and Research","Scholarly Journals","","27","3","2021-09-01","Sep 2021","375","395","375-395","09281371","","","ENG","People ebb and flow across the city. The spatial and temporal patterning of crime is, in part, reflective of this mobility, of the scale of the population present in any given setting at a particular time. It is also a function of capacity of this population to perform an active role as an offender, victim or guardian in any specific crime type, itself shaped by the time-variant activities undertaken in, and the qualities of, particular settings. To this end, this paper explores the intra-daily influence of activities and settings upon the weekday spatial and temporal patterning of violent crime in public spaces. This task is achieved through integrating a transient population dataset with travel survey, point-of-interest and recorded crime data in a study of Great Manchester (UK). The research deploys a negative binomial regression model controlling for spatial lag effects. It finds strong and independent, but time-variant, associations between leisure activities, leisure settings and the spatial and temporal patterning of violent crime in public space. The paper concludes by discussing the theoretical and empirical implications of these findings.","https://www.proquest.com/docview/2602865929?accountid=11077&bdid=92773&_bd=vMM1hC1NjUUp1GMB13L9YpY5%2BAM%3D","https://doi.org/10.1007/s10610-020-09456-1"
"Does insider trading pay?","","Spaic, Aneta; Claire Angelique Nolasco; Lily Chi-Fang Tsai; Vaughn, Michael S","Journal of Financial Crime","Scholarly Journals","","26","2","2019-04-01","2019","647","664","647-664","13590790","","","ENG","PurposeThis paper analyzes trading and tipping activities in insider trading litigation decided by federal courts from January 1, 2012 to December 31, 2014.Design/methodology/approachLegal documents from the US Securities and Exchange Commission, LexisNexis and Westlaw databases were coded to determine profile, patterns of trading and settlement outcomes.FindingsResults of statistical analysis indicate that a defendant in both civil and criminal cases is more likely to trade on the information when he/she receives a direct, financial benefit from breaching his/her duty of confidentiality. The defendant tipper is also more likely to pass on the information to a close personal friend, business associate or family member. The average amount of profit of defendants in both civil and criminal proceedings substantially exceeds the average amount of their settlements.Originality/valueThis paper offers support for the rational choice model – insider trading is often based on rational calculations of benefits not only to the defendant but also to his/her family and associates. Although the threat of civil enforcement and criminal proceedings may possibly deter him/her from committing the crime, results indicate that the amounts of settlement in both proceedings are considerably lower than the amount of profits obtained from the offense.","https://www.proquest.com/docview/2259432694?accountid=11077&bdid=92773&_bd=ZHy6PFc3uos6aUiBhs6DH6Dv8eE%3D","https://doi.org/10.1108/JFC-07-2018-0068"
"Emergent Regularities of Interpersonal Victimization: An Agent-Based Investigation","","Birks, Daniel; Townsley, Michael; Stewart, Anna","The Journal of Research in Crime and Delinquency","Scholarly Journals","","51","1","2014-02-01","Feb 2014","119","","","00224278","","","ENG","Apply computational agent-based modeling to explore the generative sufficiency of several mechanisms derived from the field of environmental criminology in explaining commonly observed patterns of interpersonal victimization. Controlled simulation experiments compared patterns of simulated interpersonal victimization to three empirically derived regularities of crime using established statistical techniques: (1) spatial clustering (nearest neighbor index), (2) repeat victimization (Gini coefficient), and (3) journeys to crime (Pearson's coefficient of skewness). Large, statistically significant increases in spatial clustering, repeat victimization, and journey to crime skewness are observed when virtual offenders operate according to mechanisms proposed by the routine activity approach, rational choice perspective, and geometry/pattern theories of crime. This research provides support for several propositions of environmental criminology in explaining why interpersonal victimization tends to be spatially concentrated, experienced by a small number of repeat victims, and why aggregate journey to crime curves tend to follow a distance decay relationship. By extending previous work in agent-based modeling of property victimization, it also demonstrates that the same core mechanisms are sufficient to generate plausible patterns of crime when examining fundamentally different types of offending.","https://www.proquest.com/docview/1476493684?accountid=11077&bdid=92773&_bd=burPA%2F4XrochX8keLlYy7HO4v4k%3D","https://doi.org/10.1177/0022427813487353"
"How do offenders choose where to offend? Perspectives from animal foraging","","Johnson, Shane D","Legal and Criminological Psychology","Scholarly Journals","","19","2","2014-09-01","Sep 2014","193","","","13553259","","","ENG","Research suggests that offender spatial decision-making is not random. However, little is known about if or how offences in a series influence where an offender will target next. Drawing on concepts and empirical findings from environmental criminology and the ecology literature, in this article I consider what spatial patterns might be expected in the sequential crimes committed by serial offenders and provide an empirical example. Data for detected burglars are analysed and patterns in the inter-event distances for sequential offences compared with those signatures typically associated with three types of foraging behaviour -- central place foraging, Brownian walks and Levy walks. Analyses involve the use of a Monte Carlo simulation to derive an expected distribution for central place foraging, while the observed probability density function of sequential inter-event distances is compared to exponential and power law distributions to test for evidence of Brownian and Levy walks, respectively. Analyses suggest that patterns in burglar sequential inter-event distances cannot be explained by a simple central place foraging strategy. The distribution of sequential inter-event distances is found to be consistent with both Brownian and Levy walks. The findings suggest that there are regularities in the sequential spatial choices made by offenders, and that these are similar to those observed across species. Reasons for why there is evidence of both Brownian and Levy walks are discussed. The implications of the findings for forensic techniques such as crime linkage analysis, geographic offender profiling and crime forecasting are discussed.","https://www.proquest.com/docview/1557118955?accountid=11077&bdid=92773&_bd=LPO8M34HTq%2FTTu9Jg27zOExUUsk%3D","https://doi.org/10.1111/lcrp.12061"
"Testing Ecological Theories of Offender Spatial Decision Making Using a Discrete Choice Model","","Vieraitis, Lynne M; Britto, Sarah; Morris, Robert G","Crime and Delinquency","Scholarly Journals","","61","3","2015-04-01","Apr 2015","454","","","00111287","","","ENG","Research demonstrates that crime is spatially concentrated. However, most research relies on information about where crimes occur, without reference to where offenders reside. This study examines how the characteristics of neighborhoods and their proximity to offender home locations affect offender spatial decision making. Using a discrete choice model and data for detected incidents of theft from vehicles (TFV), we test predictions from two theoretical perspectives -- crime pattern and social disorganization theories. We demonstrate that offenders favor areas that are low in social cohesion and closer to their home, or other age-related activity nodes. For adult offenders, choices also appear to be influenced by how accessible a neighborhood is via the street network. The implications for criminological theory and crime prevention are discussed.","https://www.proquest.com/docview/1666454459?accountid=11077&bdid=92773&_bd=YGJZUUQLL%2ByZ4Bit6G7UIXYKYrc%3D","https://doi.org/10.1177/0011128714540276"
"‘Two Sides of the Same Coin’—A Proposed Model for Delivering a Whole System Serial Crime Reduction Plan","","Halford, Eric, Dr","Policing : A Journal of Policy and Practice","Scholarly Journals","","17","","2023-01-01","2023","","","","17524512","","","ENG","This article describes how existing and newly emerged research can be combined to develop a more systematic model for responding to serial crimes. We believe that the model offers police services a more efficient and effective way to optimize the deployment and scheduling of police resources, and their associated activity, to combat serial offending. We suggest that the likely subsequent prevention and reduction of demand achieved will go some way to alleviate the impact of serial offending behavior. To develop our model, we draw upon criminological literature including theories of routine activity, rational choice, and situational crime prevention. By incorporating existing methods of hotspot identification, and combining these with processes to identify and respond to serial offending, we propose a six-stage, Dual Offender—Victim, Crime Prevention and Reduction model, that includes (1) crime linkage to identify serial offending; (2) near-repeat pattern analysis to identify the areas experiencing, and at immediate risk of victimization; (3) THE prediction of future, spatially displaced hotspots at high risk of victimization; (4) geographical profiling to identify the area of the likely home or base of the offender; (5) suspect mapping, ranking, targeting, and early intervention; and (6) tracking of spatial displacement, and offender management to maintain model effectiveness.","https://www.proquest.com/docview/3103061648?accountid=11077&bdid=92773&_bd=1FeBSYmzSZsklDzOey2Bg4S565w%3D","https://doi.org/10.1093/police/paad026"
"A Time for a Crime","","van Sleeuwen Sabine E M; Ruiter Stijn; Menting, Barbara","The Journal of Research in Crime and Delinquency","Scholarly Journals","","55","4","2018-07-01","Jul 2018","538","568","538-568","00224278","","","ENG","Objectives:This article examines to what extent repeat offenders’ crime location choices are conditional on the timing of the offenses within the week and within the day. Extending crime pattern theory, we argue that offenders acquire time-specific rather than general knowledge of their environment. We hypothesize that offenders are more likely to offend in previously targeted areas at similar than at different days and times.Methods:Data on 12,639 offenses committed by 3,666 repeat offenders in the Netherlands are analyzed using discrete spatial choice models.Results:Offenders are most likely to offend in areas they already targeted before at similar parts of the week and similar times of the day, especially when the previous offense was committed on exactly the same weekend day or weekday and at the same hour of day. Offenders are less likely to return to previously targeted areas at different times of the week and day, and least likely to offend in areas they never targeted before. The effects were stronger for the same than for different types of crime.Conclusions:Assessing cyclic time patterns in crime location choice not only enhances our understanding of spatial criminal decision-making, but could also improve predictive policing methods.","https://www.proquest.com/docview/2053247540?accountid=11077&bdid=92773&_bd=W%2BaaacbFP6u7SdQh6VmO2vrqWls%3D","https://doi.org/10.1177/0022427818766395"
"The usefulness of past crime data as an attractiveness index for residential burglars","","Hanayama, Aiko; Haginoya, Shumpei; Kuraishi, Hiroki; Kobayashi, Masakazu","Journal of Investigative Psychology and Offender Profiling (Online)","Scholarly Journals","","15","3","2018-10-01","Oct 2018","257","270","257-270","15444767","","","ENG","This study examines the effects of neighbourhood attractiveness on the residential burglar's crime location choice process using a discrete choice model. We show that past crime data are an important index of a neighbourhood's attractiveness and can be combined with other attractiveness indices adapted from previous studies. We used data from 369 solved cases committed by 70 offenders and related these data to 1,134 areas (500 m grid cells) in Sendai City, Japan. The results showed that residential burglars were attracted to the following potential locations for crimes: (a) areas in proximity to his or her own residence; (b) areas having many or at least a higher proportion of residential burglaries in the past; (c) areas having many residential units; and (d) areas having a higher proportion of single‐family dwellings. The results confirm the validity of past crime data as an index of a neighbourhood's attractiveness for residential burglary.","https://www.proquest.com/docview/2116775086?accountid=11077&bdid=92773&_bd=KiuVqxwy8sc2OCe4Esp7aZnRG2Q%3D","https://doi.org/10.1002/jip.1507"
"Minority Threat, Crime Control, and Police Resource Allocation in the Southwestern United States","","Holmes, Malcolm D; Smith, Brad W; Freng, Adrienne B; Muñoz, Ed A","Crime and Delinquency","Scholarly Journals","","54","1","2008-01-01","Jan 2008","128","","128-152","00111287","","","ENG","Numerous studies have examined political influences on communities' allocations of fiscal and personnel resources to policing. Rational choice theory maintains that these resources are distributed in accordance with the need for crime control, whereas conflict theory argues that they are allocated with the aim of controlling racial and ethnic minorities. Existing research more consistently supports the conflict argument, but important issues remain unaddressed. The authors tested that approach by examining allocations of police resources in large cities in the Southwest, the yet-to-be-studied region in which the majority of Hispanics reside. The analyses included the key variables from the rational choice and conflict perspectives, as well as proximity to the border between the United States and Mexico. Minimal effects existed for percent Hispanic, an important conflict theory variable. However, Anglo-Hispanic income inequality and proximity to the border had effects consistent with that perspective. Class divisions within the Hispanic community may explain this pattern of findings.","https://www.proquest.com/docview/1928266992?accountid=11077&bdid=92773&_bd=Wg6sQ2sZ%2BYNqEucwYU6na300pq4%3D","https://doi.org/10.1177/0011128707309718"
"Urban routines, spatial occupancy, and their effects on outdoor crime in Barcelona","","Valente Riccardo","European Journal of Criminology","Scholarly Journals","","21","5","2024-09-01","Sep 2024","754","773","754-773","14773708","","","ENG","Based on mobile phone data from the city of Barcelona, Spain, generalized linear models are used to analyse the relationship between urban mobilities and the spatial and temporal patterning of robbery and theft. The hypothesis was made that mobility fluxes may undermine social control mechanisms by altering the socio-demographic composition of urban populations, therefore increasing the risk of crime victimization. The analysis brought together indicators of land use and a measure of the ambient population disaggregated by different profiles of public space users (by sex, age, and place of residence). The results indicate that robbery and theft tend to cluster around locations that attract a higher proportion of non-residents (i.e. national and international visitors). Non-local visitors, who visit the city occasionally or once in a lifetime, lack a comprehensive knowledge of the environment which would help them to navigate safely through the urban space. Therefore, their presence not only unsettles the social routines of public spaces in Barcelona but also reflects negatively in terms of crime occurrence. This finding raises questions about how to accommodate growing mobilities in our cities without detriment to incumbent residents and their safety, which seems to be critical in post-COVID-19 urban planning.","https://www.proquest.com/docview/3100948256?accountid=11077&bdid=92773&_bd=YOBHB4HnPkC6%2FQ6H%2BxCHvPyZIAM%3D","https://doi.org/10.1177/14773708241251629"
"Spatial and temporal dynamics of neighborhoods and crime","","Kikuchi, George M.","ProQuest Dissertations and Theses","Dissertations & Theses","","","","2008-01-01","2008","","","","","","978-0-549-82665-1","ENG","The importance of neighborhoods and places in understanding crime has been widely noted in criminology. Using various units of analysis (e.g., states, counties, cities, neighborhoods, places), studies have found that crime tends to be spatially concentrated. Based on social disorganization theory and routine activities theory, relationships between the level of crime and various neighborhood characteristics have been noted in the literature. Reviews of the existing literature, however, have identified several limitations of neighborhood level studies of crime. First, many neighborhood level studies have utilized cross-sectional samples and failed to analyze temporal dynamics between neighborhood changes and crime. Second, until recently, criminological studies paid little attention to two spatial processes, spatial dependency and spatial heterogeneity, in developing spatial regression models. Third, most studies examined only places and neighborhoods where crimes were committed and failed to account for where offenders were coming from. By integrating newly developed statistical methods from interdisciplinary fields with social disorganization theory and routine activities theory, this dissertation pursued a series of research questions that examine the spatial and temporal dynamics of crime at the neighborhood level. First, a longitudinal analysis of crime between 1960 and 2005 in Seattle, WA, indicated that neighborhood crime rate trajectories were characterized by quadratic functions, although there was considerable variability in both the initial level of crime and rate of change over time. The results indicated that neighborhood characteristics based on social disorganization theory and routine activities theory were important in explaining the variability in crime rate trajectories. In particular, social disorganization predicted changes in crime rates decades later, while the level of crime also changed depending on time specific opportunities for crime. For example, racial heterogeneity and residential mobility predicted the initial level of crime in 1960, while the linear rate of change was predicted by socio-economic disadvantage. Furthermore, an increase in the percentage of employed women was related with high levels of burglary and auto theft, while an increase in the percentage of public transportation users increased robbery at each time point.Second, an analysis of spatial effects indicated the importance of considering both spatial dependency and spatial heterogeneity when examining the association between neighborhood characteristics and crime. In particular, although global regression models produce a single measure of association between an independent variable and a dependent variable that applies to a whole study area, the results indicated there was considerable variability in the local patterns of association between neighborhood characteristics and the level of crime. For example, the results indicated that the effects of racial heterogeneity on the level of crime varied in strength and direction across space. That is, although social disorganization theory predicts that racial heterogeneity hinders the realization of common goals among residents and increases crime, the results indicated racial heterogeneity may actually reduce crime in some neighborhoods. Variability in local patterns of association are important in further understanding social processes linking the structural characteristics of neighborhoods to the level of crime and developing place-focused crime prevention strategies.Third, an analysis of burglars’ target selection indicated that neighborhood characteristics were highly predictive of which neighborhoods burglars target. In particular, it was found that the likelihood of burglars selecting a neighborhood for the commission of their crimes increased as criminal opportunities for crime increased (e.g., weakened household guardianship due to high employment). Furthermore, the analysis also indicated that burglars’ target selection varied by burglars’ characteristics, such as age, race, and the presence of co-offenders. For example, burglars’ target selection was strongly affected by their race and the racial composition of the target neighborhood. Furthermore, younger offenders’ target selection was strongly influenced by distance from their residence to a target neighborhood, while, in addition to distance, various neighborhood characteristics also affected older offenders’ target selection.Overall, the three studies conducted in this dissertation found support for both social disorganization theory and routine activities theory in explaining crime at the neighborhood level. By empirically studying the spatial and temporal aspects of crime at the neighborhood level, this dissertation adds to existing research on the role that neighborhood characteristics play in producing crime-conducive environments.","https://www.proquest.com/docview/304519838?accountid=11077&bdid=92773&_bd=SgnuRWF%2Bk1gC51LxGUoEOAtGxFU%3D",""
"Underused potentials for criminology: Applying the sociology of knowledge to terrorism","","Savelsberg, Joachim J","Crime, Law and Social Change","Scholarly Journals","","46","1-2","2006-09-01","Sep 2006","35","","35","09254994","","","ENG","Knowledge has for a long time been a central category in criminological thought, the etiological and reaction sides alike. On the etiological side, rational choice, neutralization techniques, the learning and unlearning of motivations, practices and codes, and, lately, efforts toward a cognitive criminology exemplify approaches that refer implicitly or explicitly to 'knowledge'. Yet, with the exception of George Herbert Mead's work, the sociology of knowledge has barely been explicitly used. This paper argues that the conscious consideration of the sociology of knowledge, including neo-Durkheimian, neo-Marxist, and neo-Weberian traditions, promises great benefit to criminological thought. Such consideration sheds light on the distribution across time and space of cognitive and normative tools that contribute to patterns of norm breaking behavior. A brief overview of the implicit use of 'knowledge' in criminological theory is followed by an elaboration of the potential benefits for criminology from incorporating leading traditions in the sociology of knowledge. The article concludes with an illustration for the case of terrorism as it rises simultaneously, but seeks distinct targets, across regions of the world. [PUBLICATION ABSTRACT]","https://www.proquest.com/docview/216167117?accountid=11077&bdid=92773&_bd=NfN74ST8i4C7VpNmF%2FcNdKOwlGI%3D","https://doi.org/10.1007/s10611-006-9046-0"
"Offender's decision making: An assessment of convicted burglars in Thailand","","Tititampruk, Dittita","ProQuest Dissertations and Theses","Dissertations & Theses","","","","2016-01-01","2016","","","","","","978-1-369-68424-7","ENG","Burglary represents not only a violation of privacy and theft of private property; it also causes considerable fear, and this is true across the world. Unfortunately, most burglary research is conducted with data for Western countries, and there is especially little comparative research of U.S. and Asian countries, which have different social and cultural contexts. This study draws on the rational choice perspective which argues offenders who are likely to engage in rational decision making processes as they estimate the costs and benefits of committing a given crime. Two central questions guide this study: What considerations Thai offenders have when deciding whether or not to commit crime, and how they choose specific targets. This study addresses these questions using data from interviews with incarcerated residential burglars in Thailand. Data were collected primarily though semi-structured interviews with 45 Thai inmates who had been incarcerated in federal and local correctional institutions around Bangkok and vicinity, and had been convicted of residential burglary at some point in their criminal careers.Interviewees were asked about their own experiences in committing burglaries, including those in which they wanted to commit a burglary but chose not to do so as originally planned. Interviewees were asked to complete a map task to clarify the locations of their targets on a map of Bangkok City. A central focus of the study was the offenders' target selection methodology, and in the study interviewees were explicitly queried as to how they went about identified suitable residential targets for burglary. Special attention was given to the extent to which offenders utilized rational processes to select potential burglary targets, and what environmental conditions and features they used as discriminative cues in the process.Although the findings of this study should be interpreted carefully due to the relatively small sample size of the interviewees, analysis of the study data indicates that both the risks and the rewards of residential burglary influence burglars' target selection. However, when assessing potential residential burglary targets, burglars are significantly more influenced by environmental cues related to risk than by cues related to reward. Most burglars considered some burglary prevention measures such as burglary alarms, neighborhood watch, dogs, and sign of repeat victimization.Important key findings relate to cultural differences in burglars’ target selection and the decision making during the burglary process. For example, most burglars believed in fate and luck when they decided to commit burglary. Gender and age are both important factors causing differences in residential burglars’ decision making about target selection and crime commission. Based on the findings of this study, guidelines that could be useful in the development of various residential burglary prevention initiatives and measures, such as increasing more police patrol, developing job training programs inside prison, and establishing neighborhood watch programs, are put forward for consideration.","https://www.proquest.com/docview/1889191362?accountid=11077&bdid=92773&_bd=bPf32FGmhZqfKlS7zqQDMyf6%2B40%3D",""
"Bus stops and crime: Do bus stops increase crime opportunities in local neighborhoods?","","Yu, Sung-suk Violet","ProQuest Dissertations and Theses","Dissertations & Theses","","","","2009-01-01","2009","","","","","","978-1-109-20444-5","ENG","Mass transit is often thought to be dangerous, eliciting concerns for personal security when waiting for and traveling on mass transit. One of the first steps in preventing crime in mass transit environments is to obtain accurate figures of crime. There are two mechanisms linking mass transit to crime: extension of offenders’ journey-to-crime and development of crime attractors and generators. The first mechanism has been tested by comparing crime patterns when a new light rail system was expanded into new areas; these studies reported that new transit systems do not change crime patterns. Testing the second mechanism, whether mass transit enhances crime opportunities in the neighborhoods by attracting targets and offenders alike, however, faces more challenges; testing the impact of small places on larger areas such as transit stations on crime is fraught with difficulties due to the interactions with their surrounding environments. These difficulties are even more relevant for bus stops located without clear demarcation or controlled access. Using frameworks of routine activity, crime pattern, and rational choice theories, the present study set out to investigate the relationships between bus stops and crime using Newark, New Jersey as the study area. To delineate the impact of bus stops on their surroundings from other possible covariates, the existence of commercial activities in the areas was also examined. The present research study examined five crime types: robbery, aggravated assault, motor vehicle theft, theft from motor vehicle, and burglary. To better understand the impacts of spatial aspects of the data, several data analyses methods were utilized. First, the study examined the magnitude and structure of spatial dependence in the data. Second, spatial process models were performed and compared with the OLS regression results to examine the impacts of spatial aspects on the regression results. Third, to address non-normality and spatial dependence of the data, the count response model was run by adding spatial lag as one of the predictors. The data analysis results showed that both bus stops and commercial establishments were associated with increased crime in the neighborhoods. Among the business types, some of them displayed more robust relationships than others. For instance, the category of food store was almost always significant to increased crime whereas banks were not statistically significant across crime types and regression methods. Considering the fact that fear of crime plays a strong role as actual risk of crime in making travel decisions, it is suggested that the physical and social incivilities should be analyzed by performing an environmental survey using case-control design. In addition, future research should incorporate both short-term and long-term temporal analysis.","https://www.proquest.com/docview/305069082?accountid=11077&bdid=92773&_bd=LVDY7mz8CFNEn1bDdeqKCVP11yc%3D",""
"Educational Mobility and Crime Throughout the Life Course","","Dennison, Christopher R.","ProQuest Dissertations and Theses","Dissertations & Theses","","","","2017-01-01","2017","","","","","","978-0-355-18593-5","ENG","A central question in criminology is the degree to which adult transitions are sources of stability or change throughout the life course. Transitions in the form of marriage and employment are said to represent turning points for those most prone for a life course of persistent offending, as such experiences 'knife off' a criminal past. Few studies, however, have considered college completion as an adult transition capable of redirecting one's criminal trajectory. Moreover, research largely assumes that any attainment represents a positive turning point, but whether transitions like educational attainment really are positive depends on how these resources compare to prior generations, such as those of one's parents.The study of social mobility broadens our understanding of socioeconomic attainments by encompassing continuity and change within the life course, as certain achievements may be indicative of stability while others may represent a change – either positive or negative. For instance, obtaining a high school diploma may symbolize a positive turning point for those who grew up in poverty, while similar achievements for those from a higher social class may reflect a loss in social status if it is not followed by further educational attainment. Drawing on theories of social mobility, strain, and relative deprivation, I analyze the relationship between educational mobility and crime using data from The National Longitudinal Study of Adolescent to Adult Health (Add Health). First, I examine the relationship between educational mobility (i.e., one's own achieved education in relation to parents' attainment) and various types of crime (i.e., instrumental crime, violent crime, and illegal drug use). Next, I investigate how gender and race/ethnicity moderate the association between educational mobility and crime. Finally, I assess the concern of selection into educational mobility pathways via propensity score analyses, with the purpose of accounting for the confounding bias that may explain the alleged educational mobility and crime association. Results show that upward and downward intergenerational mobility are associated with decreases and increases in instrumental crime, violent crime, and illegal drug use, respectively. Effects are slightly attenuated in size after controlling for occupational and familial transitions in adulthood, as well as financial stressors and social psychological measures. Moreover, downward educational mobility is associated with greater increases in crime for females compared to males, and upward mobility results in greater reductions in crime for blacks and native-born Hispanics. Finally, results show that overall patterns of intergenerational mobility are robust when incorporating a series of propensity score techniques that account for confounding bias. In total, this dissertation contributes to the long speculated socioeconomic status and crime connection by integrating social mobility and education into criminological research as meaningful sources of change in the life course.","https://www.proquest.com/docview/1945891016?accountid=11077&bdid=92773&_bd=vc20GVOTqAjvuw4cOdLsVRwdUpc%3D",""
"GENERATIVE EXPLANATIONS OF CRIME: USING SIMULATION TO TEST CRIMINOLOGICAL THEORY","","Birks, Daniel; Townsley, Michael; Stewart, Anna","Criminology","Scholarly Journals","","50","1","2012-02-01","Feb 2012","221","","","00111384","","","ENG","This study demonstrates that computational modeling and, in particular, agent-based modeling (ABM) offers a viable compatriot to traditional experimental methodologies for criminology scholars. ABM can be used as a means to operationalize and test hypothetical mechanisms that offer a potential explanation for commonly observed criminological phenomena. This study tests whether the hypothesized mechanisms of environmental criminology are sufficient to produce several commonly observed characteristics of crime. We present an ABM of residential burglary, simulating a world inhabited by potential targets and offenders who behave according to the theoretical propositions of environmental criminology. A series of simulated experiments examining the impact of these mechanisms on patterns of offending are performed. The outputs of these simulations then are compared with several well-established findings derived from empirical studies of residential burglary, including the spatial concentration of crime, repeat victimization, and the journey to crime curve. The results from this research demonstrate that the propositions of the routine activity approach, rational choice perspective, and crime pattern theory provide a viable generative explanation for several independent characteristics of crime. [PUBLICATION ABSTRACT]","https://www.proquest.com/docview/922387880?accountid=11077&bdid=92773&_bd=ceaKzTn3EvhWCWHewZ0Gfn1mMgg%3D","https://doi.org/10.1111/j.1745-9125.2011.00258.x"
"A Descriptive Model of the Hunting Process of Serial Sex Offenders: A Rational Choice Perspective","","Beauregard, Eric; D Kim Rossmo; Proulx, Jean","Journal of Family Violence","Scholarly Journals","","22","6","2007-08-01","Aug 2007","449","","449-463","08857482","","","ENG","A rational choice theory approach was used to analyze the offense behavior of serial sex offenders. Qualitative data were obtained through the descriptions of the crimes provided by 69 serial sex offenders who were incarcerated in a Correctional Service of Canada institution. Based on the offenders' accounts, a descriptive model specific to the hunting process was identified. This model contained the following nine phases: offender and victim routine activities, choice of hunting ground, victim selection, method of approach, attack location choice, method to bring the victim to the crime site, crime location choice, method to commit the crime, and the victim release location choice. The model is discussed according to existing research on serial sex offenders and environmental criminology. Implications for clinical practice, crime prevention, offender profiling, and future studies are discussed.  [PUBLICATION ABSTRACT]","https://www.proquest.com/docview/233220665?accountid=11077&bdid=92773&_bd=6303XeT%2FoOMMevzI%2BTCQWqaClCY%3D","https://doi.org/10.1007/s10896-007-9101-3"
"Understanding site selection of illegal border crossings into a fenced protected area: a rational choice approach","","Nick van Doormaal; Lemieux, A M; Ruiter, Stijn","Crime Science","Scholarly Journals","","7","1","2018-07-01","Jul 2018","1","11","1-11","21937680","","","ENG","This study investigates illegal border crossings by rhino poachers into a fenced reserve in South Africa, comparing journeys to and after crime using a rational choice approach. Using various regression models, our analysis indicates poachers prefer to enter and exit the reserve near high rhino densities, while high road densities outside the reserve increase the odds of an illegal entry. The results also show that half of the incursions occurred at a single location, leading us to describe the special circumstances of this outlier. The study lays a foundation for understanding the location choices poachers make and presents a methodology that can be replicated in other reserves.","https://www.proquest.com/docview/2064639192?accountid=11077&bdid=92773&_bd=SXkw9umeu3Iz3N7Eh1D65wvvcYU%3D","https://doi.org/10.1186/s40163-018-0081-9"
"How Do Residential Burglars Select Target Areas?","A New Approach to the Analysis of Criminal Location Choice","Bernasco, Wim; Nieuwbeerta, Paul","The British Journal of Criminology","Scholarly Journals","","45","3","2005-05-01","May 2005","296","","296-315","00070955","","","ENG","This paper introduces the discrete spatial choice approach to the study of criminal target choice. The approach is used to assess whether residential burglars are attracted to target areas that are affluent, accessible, and poorly guarded. In addition, the importance of these criteria is postulated to vary across burglars. The theory is tested using data on 548 residential burglaries, committed by 290 burglars from the city of The Hague, the Netherlands. The likelihood of a neighbourhood's being selected for burglary is heightened by its ethnic heterogeneity, its percentage of single-family dwellings, and its proximity to where the offender lives. The results and prospects of the discrete spatial choice approach for spatial target selection research are discussed. [PUBLICATION ABSTRACT]","https://www.proquest.com/docview/199346044?accountid=11077&bdid=92773&_bd=oXsPGrPrvokSLHpjw5hXHoJLt6U%3D",""
"Opportunity, Choice, and Criminal Victimization: A Test of a Theoretical Model","","MIETHE, TERANCE D; MEIER, ROBERT F","The Journal of Research in Crime and Delinquency","Scholarly Journals","","27","3","1990-08-01","Aug 1990","243","","243-266","00224278","","","ENG","The present article examines the key concepts underlying victimization theories (i.e., exposure, proximity, target attractiveness, guardianship). Measures of each concept are developed and evaluated in terms of their ability to explain individuals' risks of residential burglary, personal theft, and personal violence. Using data from 5,271 respondents in the British Crime Survey, mixed empirical support is found for the structural-choice model underlying current victimization theories. Specifically, the structural components of these theories (proximity and exposure) are more consistently related to victimization experiences than the target-selection or choice components (attractiveness and guardianship). Multiplicative models that test for interaction among these major variables also produce results that are contrary to theoretical productions. The authors conclude that present theories do not adequately describe individuals' risks of victimization and discuss some alternative directions for future research on criminal victimization.","https://www.proquest.com/docview/1988233818?accountid=11077&bdid=92773&_bd=h44GgWbNDCdp3oPkpbtuGL0QRk4%3D","https://doi.org/10.1177/0022427890027003003"
"Burglar Target Selection: A Cross-national Comparison","","Townsley, Michael; Birks, Daniel; Bernasco, Wim; Ruiter, Stijn; Johnson, Shane D; White, Gentry; Baum, Scott","The Journal of Research in Crime and Delinquency","Scholarly Journals","","52","1","2015-02-01","Feb 2015","3","","","00224278","","","ENG","This study builds on research undertaken by Bernasco and Nieuwbeerta and explores the generalizability of a theoretically derived offender target selection model in three cross-national study regions. Taking a discrete spatial choice approach, we estimate the impact of both environment- and offender-level factors on residential burglary placement in the Netherlands, the United Kingdom, and Australia. Combining cleared burglary data from all study regions in a single statistical model, we make statistical comparisons between environments. In all three study regions, the likelihood an offender selects an area for burglary is positively influenced by proximity to their home, the proportion of easily accessible targets, and the total number of targets available. Furthermore, in two of the three study regions, juvenile offenders under the legal driving age are significantly more influenced by target proximity than adult offenders. Post hoc tests indicate the magnitudes of these impacts vary significantly between study regions. While burglary target selection strategies are consistent with opportunity-based explanations of offending, the impact of environmental context is significant. As such, the approach undertaken in combining observations from multiple study regions may aid criminology scholars in assessing the generalizability of observed findings across multiple environments.","https://www.proquest.com/docview/1647822531?accountid=11077&bdid=92773&_bd=f32J4sbh%2FnV8lxxyKQ7vudbpUEQ%3D","https://doi.org/10.1177/0022427814541447"
