Study_ID,Title_of_the_study,Citation,Size_of_the_unit,Unit,Unit_size_km2,Size_group,Name_of_the_unit,No_of_units,No_of_incidents,Inferred_size,DOI,ISSN,Journal,Volume,Issue,Elicit_Country,Elicit_City_Region,Elicit_Study_Area_Description,Elicit_Crime_Type,Elicit_Study_Period,Elicit_Data_Sources,Elicit_Study_Design,Elicit_Statistical_Method,Elicit_Model_Type,Elicit_Software_Used,Elicit_Sampling_Approach,Elicit_Sample_Size_Elicit,Elicit_Choice_Set_Definition,Elicit_Estimation_Method,Elicit_Total_Variables,Elicit_Demographic_Vars,Elicit_Economic_Vars,Elicit_LandUse_Vars,Elicit_Infrastructure_Vars,Elicit_Distance_Vars,Elicit_Crime_Opportunity_Vars,Elicit_Social_Vars,Elicit_Environmental_Vars,Elicit_Temporal_Vars,Elicit_Main_Results,Elicit_Significant_Predictors,Elicit_Model_Performance,Elicit_Scale_Effects,Elicit_Variable_Info_Quality,Elicit_Missing_Information,Elicit_Extraction_Confidence,Elicit_Match_Score,Elicit_Matched_Title,Elicit_Title_Elicit,Elicit_Year_Elicit,Elicit_Authors_Elicit,Elicit_Journal_Elicit,Elicit_DOI_Elicit,Elicit_Study_Area_Size,Elicit_Crime_Types_All,Elicit_SUoA_Type,Elicit_SUoA_Size_Elicit,Elicit_SUoA_Description,Elicit_Number_of_Units_Elicit,Elicit_Population_per_Unit,Elicit_SUoA_Justification,Elicit_Authors_Original,Elicit_Year_Original,Elicit_Citation_Count,Elicit_Venue
24,Relative Difference and Burglary Location: Can Ecological Characteristics of a Burglar’s Home Neighborhood Predict Offense Location?,"(A. W. Chamberlain & Boggess, 2016)",0.88,km2,0.88,small,Blocks,334,5182,"The paper does not report the spatial unit size. We estimated the average block group area by dividing Tampa’s total land area (293 km²) by the number of block groups (334), resulting in an average of approximately 0.88 km² per block group.",,0022-4278,Journal of Research in Crime and Delinquency,53.0,6.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1.0,Relative Difference and Burglary Location: Can Ecological Characteristics of a Burglar's Home Neighborhood Predict Offense Location?,,,,,,,,,,,,,,"Alyssa W Chamberlain, Lyndsay N Boggess",2016,30,
25,divergent decisionmaking in context neighborhood context shapes effects of physical disorder and spatial knowledge on burglars location choice,"(Cai et al., 2024)",0.958,km2,0.958,small,Community,1652,1972,,,,,,,China,ZG,Central urban area of ZG,Burglary,2017-2018,"Police arrest records, mobile phone mobility data, street view images, census data ## SPATIAL UNIT OF ANALYSIS (SUoA)",Cross-sectional,Discrete choice model,Conditional logit model,Not mentioned,Not mentioned,"1,972 burglary cases",Not mentioned,"Maximum likelihood ## COMPLETE INDIVIDUAL VARIABLE LIST - **DEMOGRAPHIC VARIABLES:** - Population density - Population (log) - **ECONOMIC VARIABLES:** - Unemployment rate - Low educational attainment (high school or lower) - Share of non-locals - Overcrowding - Share of renters - Average rent price - Access to tap water, bath, and kitchen - **LAND USE VARIABLES:** - Presence of post-2000 newer buildings - Presence of high-rise buildings (9 floors or higher) - **INFRASTRUCTURE VARIABLES:** - Number of subway stations - Number of bus stops - Number of parks - Number of entertainment venues - **DISTANCE/ACCESSIBILITY VARIABLES:** - Distance from burglar's home (log) - **CRIME OPPORTUNITY VARIABLES:** - Observed physical disorder - Perceived physical disorder - **SOCIAL/BEHAVIORAL VARIABLES:** - Spatial knowledge (mobility flows) - **ENVIRONMENTAL VARIABLES:** - Not mentioned - **TEMPORAL/CONTROL VARIABLES:** - Not mentioned - **OTHER VARIABLES:** - Concentrated disadvantage ## VARIABLE SUMMARY COUNTS - **Total Independent Variables:** 15 - **Demographic Variables:** 2 - **Economic Variables:** 7 - **Land Use Variables:** 2 - **Infrastructure Variables:** 4 - **Distance/Accessibility Variables:** 1 - **Crime Opportunity Variables:** 2 - **Social/Behavioral Variables:** 1 - **Environmental Variables:** 0 - **Temporal/Control Variables:** 0 - **Other Variables:** 1 ## KEY FINDINGS - The likelihood of a community being targeted for burglary decreases with distance from the burglar's home. - More populated communities are more likely to be targeted. - The presence of newer buildings and transportation facilities like subway stations increases burglary risk. - Spatial knowledge moderates the relationship between social contexts and physical disorder. ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Not mentioned - **Extraction Confidence:** High",15.0,2.0,7.0,2.0,4.0,1.0,2.0,1.0,0.0,0.0,,,,,Complete - **Missing Information:** Not mentioned - **Extraction Confidence:** High,Not mentioned - **Extraction Confidence:** High,High,1.0,Divergent Decision-Making in Context: Neighborhood Context Shapes Effects of Physical Disorder and Spatial Knowledge on Burglars' Location Choice,Divergent Decision-Making in Context: Neighborhood Context Shapes Effects of Physical Disorder and Spatial Knowledge on Burglars' Location Choice,2024,"Liang Cai, Guangwen Song, Yanji Zhang",Not mentioned,Not mentioned,Not mentioned,,Communities (juweihui or cunweihui),Average size of 0.958km²,Communities are the smallest administrative unit where population census and major survey data are collected,"1,652","Average population of 5,957",Not mentioned ## METHODOLOGY,"Liang Cai, Guangwen Song, Yanji Zhang",-,-,-
26,familiar locations and similar activities examining the contributions of reliable and relevant knowledge in offenders crime location choices,"(Curtis-Ham et al., 2025)",1.2,km2,1.2,medium,Statistical_Area,2153,38120,"The paper uses “Statistical Area 2” (SA2) census units as the spatial unit of analysis. SA2s typically contain 2,000–4,000 residents (1,000–3,000 in rural areas). In this study, the analyzed SA2s had a median land area of 1.2 km², with 50% of SA2s sized between 0.84 and 2.2 km². ",https://doi.org/10.1177/10575677241244464,1057-5677,International Criminal Justice Review,35.0,1.0,New Zealand,Not specified,Not specified,"Various crime types including residential burglary, non-residential burglary, commercial robbery, personal robbery, and extra-familial sex offenses",2009-2018,New Zealand Police National Intelligence Application (NIA) --- ## SPATIAL UNIT OF ANALYSIS (SUoA),Cross-sectional,Discrete spatial choice modeling (DSCM),Conditional logit model,Not mentioned,Stratified importance sampling,"17,054 residential burglaries; 10,353 non-residential burglaries; 1,977 commercial robberies; 4,315 personal robberies; 4,421 extra-familial sex offenses",SA2s with activity nodes within 5 km and 10 randomly selected SA2s,Maximum likelihood --- ## COMPLETE INDIVIDUAL VARIABLE LIST,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,Offenders are more likely to commit crime near activity nodes high on both reliability and relevance.,High reliability and relevance of activity nodes.,Pseudo R² values ranging from 0.27 to 0.36.,Distance decay pattern observed; stronger associations at shorter distances. --- ## DATA QUALITY NOTES,Partial,"Journal name, DOI, filename, some variable details",High,1.0,Familiar Locations and Similar Activities: Examining the Contributions of Reliable and Relevant Knowledge in Offenders' Crime Location Choices,Familiar Locations and Similar Activities: Examining the Contributions of Reliable and Relevant Knowledge in Offenders' Crime Location Choices,2023,Sophie Curtis-Ham; Wim Bernasco; Oleg N Medvedev; Devon L L Polaschek,Not mentioned,Not mentioned,Not specified,,Statistical Area 2 (SA2) Census Units,"Median of 1.2 km², with 50% sized between 0.84 and 2.2 km²",Neighborhoods used for meso-level spatial choices,"2,153 SA2s","2,000-4,000 residents (1,000-3,000 in rural areas)",Balances risk of ignoring spatial spill-over mechanisms and spatial heterogeneity --- ## METHODOLOGY,"Sophie Curtis-Ham, Wim Bernasco, Oleg N Medvedev, Devon L L Polaschek",-,-,-
27,Traveling Alone or Together? Neighborhood Context on Individual and Group Juvenile and Adult Burglary Decisions,"(A. Chamberlain et al., 2022)",1.36,km2,1.36,medium,Block_groups,304,4920,"The paper does not report the spatial unit size directly but uses census block groups as the spatial unit. The city of Tampa is divided into 334 block groups. The average area per block group was estimated by dividing the total area of Tampa (455 km²) by the total number of block groups (334), resulting in an average of approximately 1.36 km² per block group. Although the analysis in the study was conducted on 304 block groups due to data availability, the average size was calculated using all 334 block groups to reflect the full spatial division of the city.",https://doi.org/10.1177/00111287211067177,00111287,Crime and Delinquency,69.0,11.0,United States,"Tampa, Florida",Representative city in the south,Burglary,January 2000 to September 2012,City police department; US Census ## SPATIAL UNIT OF ANALYSIS (SUoA),Cross-sectional,Discrete choice modeling,Conditional logit model,Not mentioned,All suspects arrested for burglary over a 13-year period,"7,124 burglary incidents; 9,288 unique suspects",Not mentioned,Maximum likelihood ## COMPLETE INDIVIDUAL VARIABLE LIST,8.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Adults travel further and are more sensitive to neighborhood conditions than juveniles; group participation makes little difference in target decisions.,"Concentrated disadvantage, residential stability, racial/ethnic heterogeneity, distance to target neighborhood.",Not mentioned ## DATA QUALITY NOTES,,Complete,Study area size; population per unit; software used; estimation method details.,High,1.0,Traveling Alone or Together? Neighborhood Context on Individual and Group Juvenile and Adult Burglary Decisions,Traveling Alone or Together? Neighborhood Context on Individual and Group Juvenile and Adult Burglary Decisions,2022,"Alyssa W Chamberlain, Lyndsay N Boggess, Taylor Fisher",Not mentioned,Not mentioned,Not mentioned,,Block group,Not mentioned,Smallest unit available where meaningful sociodemographic data are available,334 block groups,Not mentioned,Smallest unit available for meaningful sociodemographic data ## METHODOLOGY,"Alyssa W Chamberlain, Lyndsay N Boggess, Taylor Fisher",2022,3,Crime and delinquency
28,Relationships Between Offenders’ Crime Locations and Different Prior Activity Locations as Recorded in Police Data,"(Curtis-Ham et al., 2022a)",1.41,km2,1.41,medium,"Statistical_Area_
2",2153,38120,"the authors report that the median land area of the sampled Statistical Area Level 2 (SA2) units was 1.2 km², with the first quartile (Q1) at 0.84 km² and the third quartile (Q3) at 2.2 km². While the mean unit size was not directly reported, it can be approximated using a standard formula that averages the three quartile values:
Estimated Mean Area≈Q1+Median+Q33=0.84+1.2+2.23≈1.41 km²",https://doi.org/10.1007/s11896-022-09540-8,0882-0783,Journal of Police and Criminal Psychology,38.0,1.0,New Zealand,Not specified,National dataset covering New Zealand,Various crime types analyzed,2009-2018,New Zealand Police National Intelligence Application (NIA) ## SPATIAL UNIT OF ANALYSIS (SUoA),Cross-sectional,Discrete spatial choice models,Conditional logit models,Not mentioned,Stratified importance sampling approach,"17,054 residential burglaries; 10,353 non-residential burglaries; 1,977 commercial robberies; 4,315 personal robberies; 4,421 extra-familial sex offences",Each offender's choice set included the chosen SA2; all SA2s that contained an activity node or had an activity node within 5 km; and 10 SA2s randomly selected from the remaining SA2s,Maximum likelihood ## COMPLETE INDIVIDUAL VARIABLE LIST,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,Offenders are more likely to commit crimes closer to their activity nodes; crime opportunity is positively associated with crime location choice.,Proximity to activity nodes; crime opportunity variables.,Pseudo R² values between 0.35 and 0.42.,Not mentioned ## DATA QUALITY NOTES,Partial,Specific variable names and descriptions are not provided.,Medium,1.0,Relationships Between Offenders' Crime Locations and Different Prior Activity Locations as Recorded in Police Data,Relationships Between Offenders' Crime Locations and Different Prior Activity Locations as Recorded in Police Data,2023,Sophie Curtis-Ham; Wim Bernasco; Oleg N Medvedev; Devon L L Polaschek,Not mentioned,Not mentioned,Not specified,,Statistical Area 2 (SA2),Typically containing 2000-4000 residents in urban areas and 1000-3000 residents in rural areas,Approximate neighborhoods,Not specified,2000-4000 in urban areas; 1000-3000 in rural areas,SA2s approximate neighborhoods and are comparable to units used in other neighborhood-level studies ## METHODOLOGY,"Sophie Curtis-Ham, Wim Bernasco, Oleg N Medvedev, Devon L L Polaschek",-,-,-
29,Crime Feeds on Legal Activities: Daily Mobility Flows Help to Explain Thieves’ Target Location Choices,"(Song et al., 2019)",1.62,km2,1.62,medium,Census_unit,1616,3436,,https://doi.org/10.1007/s10940-019-09406-z,0748-4518,Journal of Quantitative Criminology,35.0,4.0,China,ZG City,Central part of ZG City,Theft from the person,"June 1st, 2014 to May 30th, 2016","Geocoded tracks of mobile phones, police-recorded thefts ## SPATIAL UNIT OF ANALYSIS (SUoA)",Cross-sectional,Conditional logit model,Discrete choice model,Not mentioned,Solitary offending cases selected,3436 cases of theft from the person,Not mentioned,Maximum likelihood ## COMPLETE INDIVIDUAL VARIABLE LIST,14.0,2.0,0.0,12.0,0.0,1.0,1.0,0.0,0.0,0.0,Mobility flows significantly impact the probability of a community being targeted.,"Distance, relative mobility flow, presence of certain crime generators.",Pseudo R² = 0.301,Mobility flows reduce the effect of distance but do not replace it. ## DATA QUALITY NOTES,Complete,None,High,1.0,Crime Feeds on Legal Activities: Daily Mobility Flows Help to Explain Thieves' Target Location Choices,Crime Feeds on Legal Activities: Daily Mobility Flows Help to Explain Thieves' Target Location Choices,Not mentioned,"Guangwen Song, Wim Bernasco, Lin Liu, Luzi Xiao, Suhong Zhou, Weiwei Liao",Not mentioned,Not mentioned,More than 3000 km²,,Census unit,Average size 1.62 km²,Census units with a mean population of 5956,1616,Mean population 5956,Similar size to comparable studies ## METHODOLOGY,"Guangwen Song, Wim Bernasco, Lin Liu, Luzi Xiao, Suhong Zhou, Weiwei Liao",-,-,-
30,Assessing the influence of prior on subsequent street robbery location choices: A case study in ZG City  China,"(Long et al., 2018)",1.62,km2,1.62,medium,Community,1973,1262,,,2071-1050,Sustainability,10.0,6.0,China,ZG City,Northern part of the Pearl River Delta,Street robbery,Not mentioned,ZG City Public Security Bureau ## SPATIAL UNIT OF ANALYSIS (SUoA),Cross-sectional,Mixed logit model,Discrete choice model,Not mentioned,Not mentioned,1262 detected robberies,Not mentioned,"Maximum likelihood ## COMPLETE INDIVIDUAL VARIABLE LIST - **DEMOGRAPHIC VARIABLES:** - Sex: Male/Female - Age: Teenagers and adult robbers - **ECONOMIC VARIABLES:** - Not mentioned - **LAND USE VARIABLES:** - Not mentioned - **INFRASTRUCTURE VARIABLES:** - Transportation hubs - Subway stations - Bus stops - Bars and clubs - Cybercafés - Malls and supermarkets - High schools - Surveillance cameras - **DISTANCE/ACCESSIBILITY VARIABLES:** - Distance of journey to prior robbery - **CRIME OPPORTUNITY VARIABLES:** - Not being arrested in the act of prior robbery - **SOCIAL/BEHAVIORAL VARIABLES:** - Not mentioned - **ENVIRONMENTAL VARIABLES:** - Not mentioned - **TEMPORAL/CONTROL VARIABLES:** - Time interval between two robberies - **OTHER VARIABLES:** - Not mentioned ## VARIABLE SUMMARY COUNTS - **Total Independent Variables:** 11 - **Demographic Variables:** 2 - **Economic Variables:** 0 - **Land Use Variables:** 0 - **Infrastructure Variables:** 8 - **Distance/Accessibility Variables:** 1 - **Crime Opportunity Variables:** 1 - **Social/Behavioral Variables:** 0 - **Environmental Variables:** 0 - **Temporal/Control Variables:** 1 - **Other Variables:** 0 ## KEY FINDINGS - **Main Results:** Prior street robbery experiences significantly affect subsequent location choices. - **Significant Predictors:** Shorter time interval, less likelihood of being arrested. - **Model Performance:** McFadden's LRI = 0.26, P = 0.000. - **Scale Effects:** Not mentioned. ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Study period, software used, sampling approach. - **Extraction Confidence:** High",11.0,2.0,0.0,0.0,8.0,1.0,1.0,0.0,0.0,1.0,"Prior street robbery experiences significantly affect subsequent location choices. - **Significant Predictors:** Shorter time interval, less likelihood of being arrested. - **Model Performance:** McFadden's LRI = 0.26, P = 0.000. - **Scale Effects:** Not mentioned. ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Study period, software used, sampling approach. - **Extraction Confidence:** High","Shorter time interval, less likelihood of being arrested. - **Model Performance:** McFadden's LRI = 0.26, P = 0.000. - **Scale Effects:** Not mentioned. ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Study period, software used, sampling approach. - **Extraction Confidence:** High","McFadden's LRI = 0.26, P = 0.000. - **Scale Effects:** Not mentioned. ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Study period, software used, sampling approach. - **Extraction Confidence:** High","Not mentioned. ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Study period, software used, sampling approach. - **Extraction Confidence:** High","Complete - **Missing Information:** Study period, software used, sampling approach. - **Extraction Confidence:** High","Study period, software used, sampling approach. - **Extraction Confidence:** High",High,1.0,"Assessing the Influence of Prior on Subsequent Street Robbery Location Choices: A Case Study in ZG City, China","Assessing the Influence of Prior on Subsequent Street Robbery Location Choices: A Case Study in ZG City, China",2018,"Dongping Long, Lin Liu, Jiaxin Feng, Suhong Zhou, Fengrui Jing",Not mentioned,Not mentioned,"1973 communities, average size 1.62 km²",,Community,Average size 1.62 km²,1973 communities in ZG City,1973,Not mentioned,Not mentioned ## METHODOLOGY,"Dongping Long, Lin Liu, Jiaxin Feng, Suhong Zhou, Fengrui Jing",2018,21,Sustainability
31,Ambient population and surveillance cameras: The guardianship role in street robbers' crime location choice,"(Long et al., 2021)",1.62,km2,1.62,medium,Community,1971,4358,,10.1016/j.cities.2021.103223,0264-2751,Cities,115.0,,China,ZG City,"ZG City, China",Street robbery,2012-2016,ZG Municipal Public Security Bureau ## SPATIAL UNIT OF ANALYSIS (SUoA),Cross-sectional,Discrete spatial choice modeling,Conditional logit model,STATA 13.0,Not mentioned,4358 street robbers,Not mentioned,"Maximum likelihood ## COMPLETE INDIVIDUAL VARIABLE LIST - **DEMOGRAPHIC VARIABLES:** - Ambient population (/10,000) - Surveillance cameras (#) - **LAND USE VARIABLES:** - Malls and supermarkets (#) - Grocers (#) - Terminal markets (#) - Bars and clubs (#) - Cybercafés (#) - Sports stadiums (#) - High schools (#) - ATMs and banks (#) - Carparks (#) - Bus stops (#) - Transportation hubs (#) - Subway stations (#) - **INFRASTRUCTURE VARIABLES:** - Density of road network (km/km²) - **DISTANCE/ACCESSIBILITY VARIABLES:** - Log distance - **SOCIAL/BEHAVIORAL VARIABLES:** - Proportion of migrants (%) - Proportion of youngsters (%) - Socioeconomic heterogeneity (10%) ## VARIABLE SUMMARY COUNTS - **Total Independent Variables:** 19 - **Demographic Variables:** 2 - **Land Use Variables:** 12 - **Infrastructure Variables:** 1 - **Distance/Accessibility Variables:** 1 - **Social/Behavioral Variables:** 3 ## KEY FINDINGS - **Main Results:** Ambient population and surveillance cameras significantly hinder street robbers' crime location choice. - **Significant Predictors:** Ambient population, surveillance cameras, malls and supermarkets, bus stops. - **Model Performance:** Pseudo R² improved by including ambient population and surveillance cameras. ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Not mentioned - **Extraction Confidence:** High",19.0,2.0,0.0,12.0,1.0,1.0,0.0,3.0,0.0,0.0,"Ambient population and surveillance cameras significantly hinder street robbers' crime location choice. - **Significant Predictors:** Ambient population, surveillance cameras, malls and supermarkets, bus stops. - **Model Performance:** Pseudo R² improved by including ambient population and surveillance cameras. ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Not mentioned - **Extraction Confidence:** High","Ambient population, surveillance cameras, malls and supermarkets, bus stops. - **Model Performance:** Pseudo R² improved by including ambient population and surveillance cameras. ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Not mentioned - **Extraction Confidence:** High",Pseudo R² improved by including ambient population and surveillance cameras. ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Not mentioned - **Extraction Confidence:** High,,Complete - **Missing Information:** Not mentioned - **Extraction Confidence:** High,Not mentioned - **Extraction Confidence:** High,High,1.0,Ambient population and surveillance cameras: The guardianship role in street robbers' crime location choice,Ambient population and surveillance cameras: The guardianship role in street robbers' crime location choice,2021,"Dongping Long, Lin Liu, Mingen Xu, Jiaxin Feng, Jianguo Chen, Li He",Not mentioned,Not mentioned,"1971 communities, average size 1.62 km²",,Communities,Average size 1.62 km²,1971 communities in ZG City,1971,Not mentioned,Not mentioned ## METHODOLOGY,"Dongping Long, Lin Liu, Mingen Xu, Jiaxin Feng, Jianguo Chen, Li He",2021,38,Cities
32,Do Migrant and Native Robbers Target Different Places?,"(Long & Liu, 2021)",1.62,km2,1.62,medium,Neighborhood,1971,7860,,10.3390/ijgi10110771,2220-9964,ISPRS International Journal of Geo-Information,10.0,11.0,China,ZG City,"ZG City, one of the largest cities in Southeast China",Street robbery,2012 to 2016,Arrest data from ZG City's Public Security Department; neighborhood characteristics data; POI data; traffic road network vector map data; bus stop data; mobile phone data; census data ## SPATIAL UNIT OF ANALYSIS (SUoA),Cross-sectional,Discrete spatial choice modeling,Conditional logit selection models,Stata 13.0,Random selection of migrant robbers for comparison with native robbers,"4358 street robbers (3650 migrant, 708 native)",Not mentioned,Maximum likelihood ## COMPLETE INDIVIDUAL VARIABLE LIST,24.0,2.0,12.0,0.0,3.0,1.0,4.0,2.0,1.0,2.0,Significant spatial differences in crime location choices between migrant and native robbers.,"Wholesale markets, sports stadiums, transportation hubs, subway stations for migrant robbers; proportion of migrants for both groups.",Pseudo R² values greater than 0.25.,Not mentioned. ## DATA QUALITY NOTES,Complete,Not mentioned,High,1.0,Do Migrant and Native Robbers Target Different Places?,Do Migrant and Native Robbers Target Different Places?,2021,Liu,ISPRS Int. J. Geo-Inf.,Not mentioned,1971 neighborhoods with an average area of 1.62 square kilometers,,Neighborhoods,Average area of 1.62 square kilometers,1971 neighborhoods in ZG City,1971,Not mentioned,Not mentioned ## METHODOLOGY, Liu,2021,3,ISPRS Int. J. Geo Inf.
33,"Do juvenile, young adult, and adult offenders target different places in the Chinese context?","(Long & Liu, 2022)",1.62,km2,1.62,medium,Neighborhood,1971,7860,,10.1016/j.cities.2022.103943,0264-2751,Cities,130.0,,China,ZG City,"ZG City, a major city in the southeast coastal region of China",Street robbery,2012 to 2016,ZG City Public Security Bureau ## SPATIAL UNIT OF ANALYSIS (SUoA),Cross-sectional,Conditional logit selection model,Conditional logit,Not mentioned,Not mentioned,7860 street robberies,Not mentioned,"Maximum likelihood ## COMPLETE INDIVIDUAL VARIABLE LIST - **DEMOGRAPHIC VARIABLES:** - Age group (juvenile, young adult, adult) - **LAND USE VARIABLES:** - Bars and clubs - Cybercafés - Schools - Transportation hubs - Wholesale markets - Malls and supermarkets - Bus stops - Subway stations - Car parks - **DISTANCE/ACCESSIBILITY VARIABLES:** - Distance of journey to crime - **SOCIAL/BEHAVIORAL VARIABLES:** - Migrants proportion - Young adults proportion ## VARIABLE SUMMARY COUNTS - **Total Independent Variables:** 12 - **Demographic Variables:** 1 - **Land Use Variables:** 9 - **Distance/Accessibility Variables:** 1 - **Social/Behavioral Variables:** 2 ## KEY FINDINGS - **Main Results:** Offenders prefer areas frequented by their age group, close to their residence, and with low social cohesion. - **Significant Predictors:** Cybercafés, transportation hubs, schools, distance of journey to crime, migrants proportion, young adults proportion. - **Model Performance:** Pseudo R² value >0.20. ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Not mentioned - **Extraction Confidence:** High",12.0,1.0,0.0,9.0,0.0,1.0,0.0,2.0,0.0,0.0,"Offenders prefer areas frequented by their age group, close to their residence, and with low social cohesion. - **Significant Predictors:** Cybercafés, transportation hubs, schools, distance of journey to crime, migrants proportion, young adults proportion. - **Model Performance:** Pseudo R² value >0.20. ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Not mentioned - **Extraction Confidence:** High","Cybercafés, transportation hubs, schools, distance of journey to crime, migrants proportion, young adults proportion. - **Model Performance:** Pseudo R² value >0.20. ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Not mentioned - **Extraction Confidence:** High",Pseudo R² value >0.20. ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Not mentioned - **Extraction Confidence:** High,,Complete - **Missing Information:** Not mentioned - **Extraction Confidence:** High,Not mentioned - **Extraction Confidence:** High,High,1.0,"Do juvenile, young adult, and adult offenders target different places in the Chinese context?","Do juvenile, young adult, and adult offenders target different places in the Chinese context?",2022,Dongping Long; Lin Liu,Not mentioned,Not mentioned,1971 neighborhood units with an average area of 1.62 km²,,Neighborhood units,Average area of 1.62 km²,1971 neighborhood units in ZG City,1971,Not mentioned,Not mentioned ## METHODOLOGY,"Dongping Long, Lin Liu",2022,3,Cities
34,Awareness×Opportunity: Testing Interactions Between Activity Nodes and Criminal Opportunity in Predicting Crime Location Choice,"(Menting, 2018)",1.68,km2,1.68,large,Postal_code_area,76,13088,,,0007-0955,The British Journal of Criminology,58.0,5.0,Netherlands,The Hague area,Three municipalities in the greater The Hague area,Any-crime-type offences,2006-2009,"Police information system, population registration data, LISA data, community survey ## SPATIAL UNIT OF ANALYSIS (SUoA)",Cross-sectional,Discrete choice models,Conditional logit model,Not specified,Not specified,"13,088 offences",Not specified,"Maximum likelihood ## COMPLETE INDIVIDUAL VARIABLE LIST - **DEMOGRAPHIC VARIABLES:** - Residential area of offender - Residential area of family - **CRIME OPPORTUNITY VARIABLES:** - Number of bars/restaurants/hotels - Collective efficacy ## VARIABLE SUMMARY COUNTS - **Total Independent Variables:** 4 - **Demographic Variables:** 2 - **Crime Opportunity Variables:** 2 ## KEY FINDINGS - **Main Results:** Residential areas of offenders and their family were more often targeted than areas where they did not live. Areas with many bars/restaurants/hotels were more likely to be targeted, while areas with high collective efficacy were less likely to be targeted. - **Significant Predictors:** Residential area of offender, residential area of family, number of bars/restaurants/hotels, collective efficacy - **Model Performance:** Not specified ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Not specified - **Extraction Confidence:** High",4.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,"Residential areas of offenders and their family were more often targeted than areas where they did not live. Areas with many bars/restaurants/hotels were more likely to be targeted, while areas with high collective efficacy were less likely to be targeted. - **Significant Predictors:** Residential area of offender, residential area of family, number of bars/restaurants/hotels, collective efficacy - **Model Performance:** Not specified ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Not specified - **Extraction Confidence:** High","Residential area of offender, residential area of family, number of bars/restaurants/hotels, collective efficacy - **Model Performance:** Not specified ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Not specified - **Extraction Confidence:** High",Not specified ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Not specified - **Extraction Confidence:** High,,Complete - **Missing Information:** Not specified - **Extraction Confidence:** High,Not specified - **Extraction Confidence:** High,High,0.9920634920634921,AWARENESS × OPPORTUNITY: TESTING INTERACTIONS BETWEEN ACTIVITY NODES AND CRIMINAL OPPORTUNITY IN PREDICTING CRIME LOCATION CHOICE,AWARENESS × OPPORTUNITY: TESTING INTERACTIONS BETWEEN ACTIVITY NODES AND CRIMINAL OPPORTUNITY IN PREDICTING CRIME LOCATION CHOICE,2018,Barbara Menting,Not specified,Not specified,Not specified,,Four-digit postal code areas,Not specified,Postal code areas in the study area,76,Not specified,Not specified ## METHODOLOGY,Barbara Menting,2018,14,
