Title_Elicit,Year_Elicit,Authors_Elicit,Journal_Elicit,DOI_Elicit,Country,City_Region,Study_Area_Size,Study_Area_Description,Crime_Type,Crime_Types_All,Study_Period,Data_Sources,SUoA_Type,SUoA_Size_Elicit,SUoA_Description,Number_of_Units_Elicit,Population_per_Unit,SUoA_Justification,Study_Design,Statistical_Method,Model_Type,Software_Used,Sampling_Approach,Sample_Size_Elicit,Choice_Set_Definition,Estimation_Method,Total_Variables,Demographic_Vars,Economic_Vars,LandUse_Vars,Infrastructure_Vars,Distance_Vars,Crime_Opportunity_Vars,Social_Vars,Environmental_Vars,Temporal_Vars,Main_Results,Significant_Predictors,Model_Performance,Scale_Effects,Variable_Info_Quality,Missing_Information,Extraction_Confidence,Elicit_Index,Title_Original_Elicit,Authors_Original,Year_Original,Citation_Count,Venue
"Assessing the Influence of Prior on Subsequent Street Robbery Location Choices: A Case Study in ZG City, China",2018,"Dongping Long, Lin Liu, Jiaxin Feng, Suhong Zhou, Fengrui Jing",Not mentioned,Not mentioned,China,ZG City,"1973 communities, average size 1.62 km²",Northern part of the Pearl River Delta,Street robbery,,Not mentioned,ZG City Public Security Bureau ## SPATIAL UNIT OF ANALYSIS (SUoA),Community,Average size 1.62 km²,1973 communities in ZG City,1973,Not mentioned,Not mentioned ## METHODOLOGY,Cross-sectional,Mixed logit model,Discrete choice model,Not mentioned,Not mentioned,1262 detected robberies,Not mentioned,"Maximum likelihood ## COMPLETE INDIVIDUAL VARIABLE LIST - **DEMOGRAPHIC VARIABLES:** - Sex: Male/Female - Age: Teenagers and adult robbers - **ECONOMIC VARIABLES:** - Not mentioned - **LAND USE VARIABLES:** - Not mentioned - **INFRASTRUCTURE VARIABLES:** - Transportation hubs - Subway stations - Bus stops - Bars and clubs - Cybercafés - Malls and supermarkets - High schools - Surveillance cameras - **DISTANCE/ACCESSIBILITY VARIABLES:** - Distance of journey to prior robbery - **CRIME OPPORTUNITY VARIABLES:** - Not being arrested in the act of prior robbery - **SOCIAL/BEHAVIORAL VARIABLES:** - Not mentioned - **ENVIRONMENTAL VARIABLES:** - Not mentioned - **TEMPORAL/CONTROL VARIABLES:** - Time interval between two robberies - **OTHER VARIABLES:** - Not mentioned ## VARIABLE SUMMARY COUNTS - **Total Independent Variables:** 11 - **Demographic Variables:** 2 - **Economic Variables:** 0 - **Land Use Variables:** 0 - **Infrastructure Variables:** 8 - **Distance/Accessibility Variables:** 1 - **Crime Opportunity Variables:** 1 - **Social/Behavioral Variables:** 0 - **Environmental Variables:** 0 - **Temporal/Control Variables:** 1 - **Other Variables:** 0 ## KEY FINDINGS - **Main Results:** Prior street robbery experiences significantly affect subsequent location choices. - **Significant Predictors:** Shorter time interval, less likelihood of being arrested. - **Model Performance:** McFadden's LRI = 0.26, P = 0.000. - **Scale Effects:** Not mentioned. ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Study period, software used, sampling approach. - **Extraction Confidence:** High",11,2,0,0,8,1,1,0,0,1,"Prior street robbery experiences significantly affect subsequent location choices. - **Significant Predictors:** Shorter time interval, less likelihood of being arrested. - **Model Performance:** McFadden's LRI = 0.26, P = 0.000. - **Scale Effects:** Not mentioned. ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Study period, software used, sampling approach. - **Extraction Confidence:** High","Shorter time interval, less likelihood of being arrested. - **Model Performance:** McFadden's LRI = 0.26, P = 0.000. - **Scale Effects:** Not mentioned. ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Study period, software used, sampling approach. - **Extraction Confidence:** High","McFadden's LRI = 0.26, P = 0.000. - **Scale Effects:** Not mentioned. ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Study period, software used, sampling approach. - **Extraction Confidence:** High","Not mentioned. ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Study period, software used, sampling approach. - **Extraction Confidence:** High","Complete - **Missing Information:** Study period, software used, sampling approach. - **Extraction Confidence:** High","Study period, software used, sampling approach. - **Extraction Confidence:** High",High,20,"Assessing the Influence of Prior on Subsequent Street Robbery Location Choices: A Case Study in ZG City, China","Dongping Long, Lin Liu, Jiaxin Feng, Suhong Zhou, Fengrui Jing",2018,21,Sustainability
Familiar Locations and Similar Activities: Examining the Contributions of Reliable and Relevant Knowledge in Offenders' Crime Location Choices,2023,Sophie Curtis-Ham; Wim Bernasco; Oleg N Medvedev; Devon L L Polaschek,Not mentioned,Not mentioned,New Zealand,Not specified,Not specified,Not specified,"Various crime types including residential burglary, non-residential burglary, commercial robbery, personal robbery, and extra-familial sex offenses",,2009-2018,New Zealand Police National Intelligence Application (NIA) --- ## SPATIAL UNIT OF ANALYSIS (SUoA),Statistical Area 2 (SA2) Census Units,"Median of 1.2 km², with 50% sized between 0.84 and 2.2 km²",Neighborhoods used for meso-level spatial choices,"2,153 SA2s","2,000-4,000 residents (1,000-3,000 in rural areas)",Balances risk of ignoring spatial spill-over mechanisms and spatial heterogeneity --- ## METHODOLOGY,Cross-sectional,Discrete spatial choice modeling (DSCM),Conditional logit model,Not mentioned,Stratified importance sampling,"17,054 residential burglaries; 10,353 non-residential burglaries; 1,977 commercial robberies; 4,315 personal robberies; 4,421 extra-familial sex offenses",SA2s with activity nodes within 5 km and 10 randomly selected SA2s,Maximum likelihood --- ## COMPLETE INDIVIDUAL VARIABLE LIST,0,0,0,0,0,0,2,0,0,0,Offenders are more likely to commit crime near activity nodes high on both reliability and relevance.,High reliability and relevance of activity nodes.,Pseudo R² values ranging from 0.27 to 0.36.,Distance decay pattern observed; stronger associations at shorter distances. --- ## DATA QUALITY NOTES,Partial,"Journal name, DOI, filename, some variable details",High,21,Familiar Locations and Similar Activities: Examining the Contributions of Reliable and Relevant Knowledge in Offenders' Crime Location Choices,"Sophie Curtis-Ham, Wim Bernasco, Oleg N Medvedev, Devon L L Polaschek",-,-,-
Traveling Alone or Together? Neighborhood Context on Individual and Group Juvenile and Adult Burglary Decisions,2022,"Alyssa W Chamberlain, Lyndsay N Boggess, Taylor Fisher",Not mentioned,Not mentioned,United States,"Tampa, Florida",Not mentioned,Representative city in the south,Burglary,,January 2000 to September 2012,City police department; US Census ## SPATIAL UNIT OF ANALYSIS (SUoA),Block group,Not mentioned,Smallest unit available where meaningful sociodemographic data are available,334 block groups,Not mentioned,Smallest unit available for meaningful sociodemographic data ## METHODOLOGY,Cross-sectional,Discrete choice modeling,Conditional logit model,Not mentioned,All suspects arrested for burglary over a 13-year period,"7,124 burglary incidents; 9,288 unique suspects",Not mentioned,Maximum likelihood ## COMPLETE INDIVIDUAL VARIABLE LIST,8,6,2,0,0,1,0,0,0,0,Adults travel further and are more sensitive to neighborhood conditions than juveniles; group participation makes little difference in target decisions.,"Concentrated disadvantage, residential stability, racial/ethnic heterogeneity, distance to target neighborhood.",Not mentioned ## DATA QUALITY NOTES,,Complete,Study area size; population per unit; software used; estimation method details.,High,22,Traveling Alone or Together? Neighborhood Context on Individual and Group Juvenile and Adult Burglary Decisions,"Alyssa W Chamberlain, Lyndsay N Boggess, Taylor Fisher",2022,3,Crime and delinquency
Divergent Decision-Making in Context: Neighborhood Context Shapes Effects of Physical Disorder and Spatial Knowledge on Burglars' Location Choice,2024,"Liang Cai, Guangwen Song, Yanji Zhang",Not mentioned,Not mentioned,China,ZG,Not mentioned,Central urban area of ZG,Burglary,,2017-2018,"Police arrest records, mobile phone mobility data, street view images, census data ## SPATIAL UNIT OF ANALYSIS (SUoA)",Communities (juweihui or cunweihui),Average size of 0.958km²,Communities are the smallest administrative unit where population census and major survey data are collected,"1,652","Average population of 5,957",Not mentioned ## METHODOLOGY,Cross-sectional,Discrete choice model,Conditional logit model,Not mentioned,Not mentioned,"1,972 burglary cases",Not mentioned,"Maximum likelihood ## COMPLETE INDIVIDUAL VARIABLE LIST - **DEMOGRAPHIC VARIABLES:** - Population density - Population (log) - **ECONOMIC VARIABLES:** - Unemployment rate - Low educational attainment (high school or lower) - Share of non-locals - Overcrowding - Share of renters - Average rent price - Access to tap water, bath, and kitchen - **LAND USE VARIABLES:** - Presence of post-2000 newer buildings - Presence of high-rise buildings (9 floors or higher) - **INFRASTRUCTURE VARIABLES:** - Number of subway stations - Number of bus stops - Number of parks - Number of entertainment venues - **DISTANCE/ACCESSIBILITY VARIABLES:** - Distance from burglar's home (log) - **CRIME OPPORTUNITY VARIABLES:** - Observed physical disorder - Perceived physical disorder - **SOCIAL/BEHAVIORAL VARIABLES:** - Spatial knowledge (mobility flows) - **ENVIRONMENTAL VARIABLES:** - Not mentioned - **TEMPORAL/CONTROL VARIABLES:** - Not mentioned - **OTHER VARIABLES:** - Concentrated disadvantage ## VARIABLE SUMMARY COUNTS - **Total Independent Variables:** 15 - **Demographic Variables:** 2 - **Economic Variables:** 7 - **Land Use Variables:** 2 - **Infrastructure Variables:** 4 - **Distance/Accessibility Variables:** 1 - **Crime Opportunity Variables:** 2 - **Social/Behavioral Variables:** 1 - **Environmental Variables:** 0 - **Temporal/Control Variables:** 0 - **Other Variables:** 1 ## KEY FINDINGS - The likelihood of a community being targeted for burglary decreases with distance from the burglar's home. - More populated communities are more likely to be targeted. - The presence of newer buildings and transportation facilities like subway stations increases burglary risk. - Spatial knowledge moderates the relationship between social contexts and physical disorder. ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Not mentioned - **Extraction Confidence:** High",15,2,7,2,4,1,2,1,0,0,,,,,Complete - **Missing Information:** Not mentioned - **Extraction Confidence:** High,Not mentioned - **Extraction Confidence:** High,High,23,Divergent Decision-Making in Context: Neighborhood Context Shapes Effects of Physical Disorder and Spatial Knowledge on Burglars' Location Choice,"Liang Cai, Guangwen Song, Yanji Zhang",-,-,-
Relationships Between Offenders' Crime Locations and Different Prior Activity Locations as Recorded in Police Data,2023,Sophie Curtis-Ham; Wim Bernasco; Oleg N Medvedev; Devon L L Polaschek,Not mentioned,Not mentioned,New Zealand,Not specified,Not specified,National dataset covering New Zealand,Various crime types analyzed,,2009-2018,New Zealand Police National Intelligence Application (NIA) ## SPATIAL UNIT OF ANALYSIS (SUoA),Statistical Area 2 (SA2),Typically containing 2000-4000 residents in urban areas and 1000-3000 residents in rural areas,Approximate neighborhoods,Not specified,2000-4000 in urban areas; 1000-3000 in rural areas,SA2s approximate neighborhoods and are comparable to units used in other neighborhood-level studies ## METHODOLOGY,Cross-sectional,Discrete spatial choice models,Conditional logit models,Not mentioned,Stratified importance sampling approach,"17,054 residential burglaries; 10,353 non-residential burglaries; 1,977 commercial robberies; 4,315 personal robberies; 4,421 extra-familial sex offences",Each offender's choice set included the chosen SA2; all SA2s that contained an activity node or had an activity node within 5 km; and 10 SA2s randomly selected from the remaining SA2s,Maximum likelihood ## COMPLETE INDIVIDUAL VARIABLE LIST,0,0,0,0,0,1,2,0,0,0,Offenders are more likely to commit crimes closer to their activity nodes; crime opportunity is positively associated with crime location choice.,Proximity to activity nodes; crime opportunity variables.,Pseudo R² values between 0.35 and 0.42.,Not mentioned ## DATA QUALITY NOTES,Partial,Specific variable names and descriptions are not provided.,Medium,24,Relationships Between Offenders' Crime Locations and Different Prior Activity Locations as Recorded in Police Data,"Sophie Curtis-Ham, Wim Bernasco, Oleg N Medvedev, Devon L L Polaschek",-,-,-
WHERE OFFENDERS CHOOSE TO ATTACK: A DISCRETE CHOICE MODEL OF ROBBERIES IN CHICAGO,2009,Wim Bernasco; Richard Block,Not specified,Not specified,USA,Chicago,Not specified,"Chicago, Illinois, USA",Robbery,,1996-1998,U.S. Census Bureau; Chicago Police Department; Chicago Public Schools; Claritas ## SPATIAL UNIT OF ANALYSIS (SUoA),Census tract,Not specified,Census tracts in Chicago,844,Not specified,"Lowest level of aggregation for which ""collective efficacy"" measure was available ## METHODOLOGY",Cross-sectional,Discrete choice model,Conditional logit model,Stata,Random sample of robbery cases,"6,000 robberies",Census tracts in Chicago,Maximum likelihood ## COMPLETE INDIVIDUAL VARIABLE LIST,9,2,1,1,0,1,2,1,0,0,"Robbery location choice is influenced by proximity to home, racial/ethnic similarity, presence of crime attractors, and collective efficacy.","Distance, racial/ethnic dissimilarity, gang territorial dissimilarity, drug and prostitution arrests, high school presence, retail employment, collective efficacy.",Not specified,Not specified ## DATA QUALITY NOTES,Complete,None noted,High,25,WHERE OFFENDERS CHOOSE TO ATTACK: A DISCRETE CHOICE MODEL OF ROBBERIES IN CHICAGO*,"Wim Bernasco, Richard Block",2009,277,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,26,Relative Difference and Burglary Location: Can Ecological Characteristics of a Burglar's Home Neighborhood Predict Offense Location?,"Alyssa W Chamberlain, Lyndsay N Boggess",2016,30,
Crime Feeds on Legal Activities: Daily Mobility Flows Help to Explain Thieves' Target Location Choices,Not mentioned,"Guangwen Song, Wim Bernasco, Lin Liu, Luzi Xiao, Suhong Zhou, Weiwei Liao",Not mentioned,Not mentioned,China,ZG City,More than 3000 km²,Central part of ZG City,Theft from the person,,"June 1st, 2014 to May 30th, 2016","Geocoded tracks of mobile phones, police-recorded thefts ## SPATIAL UNIT OF ANALYSIS (SUoA)",Census unit,Average size 1.62 km²,Census units with a mean population of 5956,1616,Mean population 5956,Similar size to comparable studies ## METHODOLOGY,Cross-sectional,Conditional logit model,Discrete choice model,Not mentioned,Solitary offending cases selected,3436 cases of theft from the person,Not mentioned,Maximum likelihood ## COMPLETE INDIVIDUAL VARIABLE LIST,14,2,0,12,0,1,1,0,0,0,Mobility flows significantly impact the probability of a community being targeted.,"Distance, relative mobility flow, presence of certain crime generators.",Pseudo R² = 0.301,Mobility flows reduce the effect of distance but do not replace it. ## DATA QUALITY NOTES,Complete,None,High,27,Crime Feeds on Legal Activities: Daily Mobility Flows Help to Explain Thieves' Target Location Choices,"Guangwen Song, Wim Bernasco, Lin Liu, Luzi Xiao, Suhong Zhou, Weiwei Liao",-,-,-
"""Location, Location, Location"": Effects of Neighborhood and House Attributes on Burglars' Target Selection",Not mentioned,"Christophe Vandeviver, Wim Bernasco",Not mentioned,Not mentioned,Belgium,Ghent,Not mentioned,"Ghent, Belgium",Residential burglary,,2005-2014,"Police records, Census data ## SPATIAL UNIT OF ANALYSIS (SUoA)",Neighborhoods,Not mentioned,"193 residential neighborhoods in Ghent, Belgium",193 neighborhoods,Not mentioned,Not mentioned ## METHODOLOGY,Cross-sectional,Discrete spatial choice approach,Conditional logit model,Not mentioned,Not mentioned,"679 burglaries, 577 burglars",Not mentioned,Maximum likelihood ## COMPLETE INDIVIDUAL VARIABLE LIST,9,3,1,2,0,1,1,0,0,0,"Burglars prefer residences in neighborhoods with lower residential density, detached residences, single-unit buildings, and renter-occupied residences. They are more likely to target residences in neighborhoods where they previously committed burglaries and residences nearby their home.","Residential density, building type, number of residential units, rental status, prior burglary activity in neighborhood, distance from offender's home",Not mentioned,Not mentioned ## DATA QUALITY NOTES,Complete,Not mentioned,High,28,"""Location, Location, Location"": Effects of Neighborhood and House Attributes on Burglars' Target Selection","Christophe Vandeviver, Wim Bernasco",-,-,-
"EFFECTS OF ATTRACTIVENESS, OPPORTUNITY AND ACCESSIBILITY TO BURGLARS ON RESIDENTIAL BURGLARY RATES OF URBAN NEIGHBORHOODS",2003,"Wim Bernasco, Floor Luykx",Not mentioned,Not mentioned,Netherlands,The Hague,Not mentioned,Urban neighborhoods in The Hague,Residential burglary,,1996-2001,"Police records, statistical publication of the municipality of The Hague ## SPATIAL UNIT OF ANALYSIS (SUoA)",Neighborhood,Average size of 0.65 square kilometers,Urban neighborhoods in The Hague,89 neighborhoods,Average population of 4950 residents,Not mentioned ## METHODOLOGY,Cross-sectional,Regression analysis,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned ## COMPLETE INDIVIDUAL VARIABLE LIST,6,2,2,1,0,1,1,0,0,0,The study emphasizes the spatial distribution of burglary is conditioned by accessibility measures.,"SWEBER, proximity to CBD",Not mentioned,Not mentioned ## DATA QUALITY NOTES,Complete,Not mentioned,High,29,"EFFECTS OF ATTRACTIVENESS, OPPORTUNITY AND ACCESSIBILITY TO BURGLARS ON RESIDENTIAL BURGLARY RATES OF URBAN NEIGHBORHOODS","Wim Bernasco, Floor Luykx",2003,197,
Testing Ecological Theories of Offender Spatial Decision Making Using a Discrete Choice Model,2015,"Shane D Johnson, Lucia Summers",Not mentioned,Not mentioned,United Kingdom,Dorset,Not mentioned,County of Dorset,Theft from vehicles (TFV),,"January 1, 2001, to December 31, 2005",Police data for detected incidents of TFV ## SPATIAL UNIT OF ANALYSIS (SUoA),UK census Lower Super Output Area (LSOA),Not mentioned,Used as spatial units for analysis,198 LSOAs,"Approximately 1,524 people and 662 residential households",Not mentioned ## METHODOLOGY,Cross-sectional,Discrete choice model,Conditional logit model,STATA 10 SE,Not mentioned,721 crimes committed by 263 offenders,Not mentioned,"Maximum likelihood estimation ## COMPLETE INDIVIDUAL VARIABLE LIST - **DEMOGRAPHIC VARIABLES:** - Population turnover (10%) - Socioeconomic heterogeneity (10%) - **ECONOMIC VARIABLES:** - Number of car parks - Number of cars and vans - **LAND USE VARIABLES:** - Presence of school(s) - Presence of train station(s) - **INFRASTRUCTURE VARIABLES:** - Connectivity: Major road(s) - **DISTANCE/ACCESSIBILITY VARIABLES:** - Distance to offender’s home (log km) - Distance to city center (log km) - **CRIME OPPORTUNITY VARIABLES:** - Not mentioned - **SOCIAL/BEHAVIORAL VARIABLES:** - Social cohesion - **ENVIRONMENTAL VARIABLES:** - Not mentioned - **TEMPORAL/CONTROL VARIABLES:** - Not mentioned - **OTHER VARIABLES:** - Not mentioned ## VARIABLE SUMMARY COUNTS - **Total Independent Variables:** 9 - **Demographic Variables:** 2 - **Economic Variables:** 2 - **Land Use Variables:** 2 - **Infrastructure Variables:** 1 - **Distance/Accessibility Variables:** 2 - **Crime Opportunity Variables:** 0 - **Social/Behavioral Variables:** 1 - **Environmental Variables:** 0 - **Temporal/Control Variables:** 0 - **Other Variables:** 0 ## KEY FINDINGS - Offenders prefer areas with low social cohesion and closer to their homes or routine activity nodes. - Adult offenders are influenced by the accessibility of neighborhoods via the street network. - Younger offenders prefer areas further from city centers. - Urban planning can influence crime patterns by considering the placement of routine activity nodes and connectivity. ## DATA QUALITY NOTES - Variable information quality: Complete - Missing information: Study area size, justification for SUoA choice, sampling approach, choice set definition - Extraction confidence: High",9,2,2,2,1,2,0,1,0,0,,,,,,,,30,Testing Ecological Theories of Offender Spatial Decision Making Using a Discrete Choice Model,"Shane D Johnson, Lucia Summers",2015,85,Crime and delinquency
Situating Crime Pattern Theory Into The Explanation Of Co-Offending: Considering Area-Level Convergence Spaces,2021,"Zachary R Rowan, Sarah Appleby, Jean Marie Mcgloin, Simon Fraser",The British Journal of Criminology,Not mentioned,United States,"Baltimore City, Maryland",Not mentioned,Baltimore City,Group crime,,2013-2016,Environmental Protection Agency; Baltimore City Police Department; American Community Survey ## SPATIAL UNIT OF ANALYSIS (SUoA),Census block group,Average size: 0.14 square miles; Average population: 953 residents,Census block groups in Baltimore City,653,Average: 953 residents,Not mentioned ## METHODOLOGY,Cross-sectional,Spatially lagged negative binomial regression,Negative binomial regression,Not mentioned,Not mentioned,"68,393 arrests",Not mentioned,Maximum likelihood ## COMPLETE INDIVIDUAL VARIABLE LIST,14,4,1,4,2,1,2,1,1,1,"Activity nodes like bars and pedestrian-oriented street connectivity are significant predictors of group crime. Poverty increases group crime rates, while ethnic heterogeneity decreases them.","Number of bars, pedestrian-oriented street density, poverty, ethnic heterogeneity",Not mentioned,Not mentioned ## DATA QUALITY NOTES,Complete,Not mentioned,High,31,Situating Crime Pattern Theory Into The Explanation Of Co-Offending: Considering Area-Level Convergence Spaces,"Zachary R Rowan, Sarah Appleby, Jean Marie Mcgloin, Simon Fraser",2021,3,
HOW DO RESIDENTIAL BURGLARS SELECT TARGET AREAS? A New Approach to the Analysis of Criminal Location Choice,2005,"Wim Bernasco, Paul Nieuwbeerta, Richard Block, Henk Elffers, Jan De Keijser, Jasper Van Der Kemp, Peter Van Koppen",Not specified,Not specified,Netherlands,The Hague,Not specified,"The Hague, Netherlands",Residential burglary,,1996-2001,Police records ## SPATIAL UNIT OF ANALYSIS (SUoA),Neighbourhoods,Not specified,89 residential neighbourhoods in The Hague,89,Not specified,Not specified ## METHODOLOGY,Cross-sectional,Conditional logit model,Discrete spatial choice approach,Not specified,Not specified,"548 burglaries, 290 burglars",Not specified,"Maximum likelihood ## COMPLETE INDIVIDUAL VARIABLE LIST - **DEMOGRAPHIC VARIABLES:** - Ethnic heterogeneity - Residential mobility - **ECONOMIC VARIABLES:** - Real estate value - **LAND USE VARIABLES:** - Percentage of single-family dwellings - Number of residential units - **DISTANCE/ACCESSIBILITY VARIABLES:** - Proximity to burglar's home - Proximity to city centre - **CRIME OPPORTUNITY VARIABLES:** - Number of residential units ## VARIABLE SUMMARY COUNTS - **Total Independent Variables:** 7 - **Demographic Variables:** 2 - **Economic Variables:** 1 - **Land Use Variables:** 2 - **Distance/Accessibility Variables:** 2 - **Crime Opportunity Variables:** 1 ## KEY FINDINGS - **Main Results:** Ethnic heterogeneity, single-family dwellings, and proximity to the offender's home increase the likelihood of a neighborhood being selected for burglary. - **Significant Predictors:** Ethnic heterogeneity, single-family dwellings, proximity to the offender's home, number of residential units - **Model Performance:** Not specified ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Study area size, justification for SUoA choice, software used, sampling approach, estimation method details - **Extraction Confidence:** High",7,2,1,2,0,2,1,0,0,0,"Ethnic heterogeneity, single-family dwellings, and proximity to the offender's home increase the likelihood of a neighborhood being selected for burglary. - **Significant Predictors:** Ethnic heterogeneity, single-family dwellings, proximity to the offender's home, number of residential units - **Model Performance:** Not specified ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Study area size, justification for SUoA choice, software used, sampling approach, estimation method details - **Extraction Confidence:** High","Ethnic heterogeneity, single-family dwellings, proximity to the offender's home, number of residential units - **Model Performance:** Not specified ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Study area size, justification for SUoA choice, software used, sampling approach, estimation method details - **Extraction Confidence:** High","Not specified ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Study area size, justification for SUoA choice, software used, sampling approach, estimation method details - **Extraction Confidence:** High",,"Complete - **Missing Information:** Study area size, justification for SUoA choice, software used, sampling approach, estimation method details - **Extraction Confidence:** High","Study area size, justification for SUoA choice, software used, sampling approach, estimation method details - **Extraction Confidence:** High",High,32,HOW DO RESIDENTIAL BURGLARS SELECT TARGET AREAS? A New Approach to the Analysis of Criminal Location Choice,"Wim Bernasco, Paul Nieuwbeerta, Richard Block, Henk Elffers, Jan De Keijser, Jasper Van Der Kemp, Peter Van Koppen",2005,362,
Co-offending and the Choice of Target Areas in Burglary,Not specified,Wim Bernasco,Not specified,Not available,Netherlands,The Hague,0.65 km² per neighbourhood,"The Hague, comprising 89 residential neighbourhoods",Residential burglary,,1996-2004,Police records; real estate registration system; citizen registration --- ## SPATIAL UNIT OF ANALYSIS (SUoA),Neighbourhood,0.65 km²,Residential neighbourhoods in The Hague,89,Approximately 4952 residents,Focus on neighbourhood-level characteristics affecting burglary --- ## METHODOLOGY,Cross-sectional,Conditional logit model,Conditional logit,Not specified,All detected residential burglaries in The Hague,1174 burglaries involving 750 offenders,Neighbourhoods in The Hague,Maximum likelihood --- ## COMPLETE INDIVIDUAL VARIABLE LIST,9,0,3,0,2,2,1,2,0,0,Physical accessibility and proximity to home are significant factors for target area choice; no significant differences between solitary and group offenders.,"Physical accessibility, proximity to home neighbourhood",Not specified,Not mentioned --- ## DATA QUALITY NOTES,Complete,None noted,High,33,Co-offending and the Choice of Target Areas in Burglary,Wim Bernasco,-,-,-
LEARNING WHERE TO OFFEND EFFECTS OF PAST ON FUTURE BURGLARY LOCATIONS,2015,"Wim Bernasco, Shane D Johnson",Not mentioned,Not mentioned,United Kingdom,West Midlands,Not mentioned,Large metropolitan UK police force,Burglary,,January 2007 to December 2012,Police-recorded burglary data ## SPATIAL UNIT OF ANALYSIS (SUoA),UK Census Lower Level Super Output Area (LSOA),"Approximately 1,500 residents and 600 households",Defined on proximity and social homogeneity measures,"1,687","Approximately 1,500 residents",Not explicitly mentioned ## METHODOLOGY,Cross-sectional,Discrete spatial crime location choice approach,Multinomial logit model,Not mentioned,Not mentioned,"3,337 detected burglaries",Not mentioned,Maximum likelihood ## COMPLETE INDIVIDUAL VARIABLE LIST,9,2,1,1,2,2,2,1,0,1,"Burglars are more likely to target areas they previously targeted, especially if the prior burglary was recent. Spatial proximity is also relevant.","Prior burglary in same LSOA, prior burglary in same MSOA, distance to burglar's residence, distance to city center, number of households, average house price, ethnic diversity, population turnover.",Pseudo R-squared value of .31. ## DATA QUALITY NOTES,,Complete,Not mentioned,High,34,LEARNING WHERE TO OFFEND EFFECTS OF PAST ON FUTURE BURGLARY LOCATIONS,"Wim Bernasco, Shane D Johnson",2015,88,
Burglar Target Selection: A Crossnational Comparison,2015,Michael Townsley; Daniel Birks; Wim Bernasco; Stijn Ruiter; Shane D Johnson; Gentry White; Scott Baum,Not mentioned,Not mentioned,Netherlands; United Kingdom; Australia,The Hague; Birmingham; Brisbane,Not explicitly mentioned,Urban areas with varying target densities,Residential burglary,,1996–2001 (The Hague); 2009 (Birmingham); 2006 (Brisbane),"Police services from The Hague, Birmingham, and Brisbane --- ## SPATIAL UNIT OF ANALYSIS (SUoA)",Neighborhoods (NL); Super Output Areas (UK); Statistical Local Areas (AU),Varies by region,Geographical spatial units where offenders may choose to offend,Not explicitly mentioned,Not explicitly mentioned,Based on equivalence in size of the known burglar population and number of targets --- ## METHODOLOGY,Cross-sectional,Discrete spatial choice approach,Conditional logit model,Not mentioned,Not explicitly mentioned,Not explicitly mentioned,Geographical spatial units where offenders may choose to offend,Maximum likelihood --- ## COMPLETE INDIVIDUAL VARIABLE LIST,6,0,1,1,0,2,1,1,0,0,"Proximity to an offender's home, the proportion of single-family dwellings, and the number of residential units are consistent predictors of burglary location choice.",Proximity to offender's home; Single-family dwellings; Residential units,Not explicitly mentioned,Not explicitly mentioned --- ## DATA QUALITY NOTES,Complete,"Journal name, DOI, exact study area size, number of spatial units, population per unit",High,35,Burglar Target Selection: A Crossnational Comparison,"Michael Townsley, Daniel Birks, Wim Bernasco, Stijn Ruiter, Shane D Johnson,  Gentry White, Scott Baum",2015,60,Journal of research in crime and delinquency
