"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Hanayama A.; Haginoya S.; Kuraishi H.; Kobayashi M.","Hanayama, Aiko (55290785900); Haginoya, Shumpei (55748685300); Kuraishi, Hiroki (55565120200); Kobayashi, Masakazu (57204071812)","55290785900; 55748685300; 55565120200; 57204071812","The usefulness of past crime data as an attractiveness index for residential burglars","2018","Journal of Investigative Psychology and Offender Profiling","15","3","","257","270","13","5","10.1002/jip.1507","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054410847&doi=10.1002%2fjip.1507&partnerID=40&md5=e1ff7dfc5a8e5cd4a30ce04fa8615b58","This study examines the effects of neighbourhood attractiveness on the residential burglar's crime location choice process using a discrete choice model. We show that past crime data are an important index of a neighbourhood's attractiveness and can be combined with other attractiveness indices adapted from previous studies. We used data from 369 solved cases committed by 70 offenders and related these data to 1,134 areas (500 m grid cells) in Sendai City, Japan. The results showed that residential burglars were attracted to the following potential locations for crimes: (a) areas in proximity to his or her own residence; (b) areas having many or at least a higher proportion of residential burglaries in the past; (c) areas having many residential units; and (d) areas having a higher proportion of single-family dwellings. The results confirm the validity of past crime data as an index of a neighbourhood's attractiveness for residential burglary. Copyright © 2018 John Wiley & Sons, Ltd.","attractiveness; criminal location choice; discrete choice; residential burglary","","Article","Final","","Scopus","2-s2.0-85054410847"
"Wang S.; Yan Q.; Chen Z.; Wang L.; Spolaor R.; Yang B.; Conti M.","Wang, Shanshan (57022596100); Yan, Qiben (54922475600); Chen, Zhenxiang (7409491657); Wang, Lin (57022259000); Spolaor, Riccardo (56600615600); Yang, Bo (57126573300); Conti, Mauro (15019127200)","57022596100; 54922475600; 7409491657; 57022259000; 56600615600; 57126573300; 15019127200","Lexical mining of malicious URLs for classifying android malware","2018","Lecture Notes of the Institute for Computer Sciences, Social-Informatics and Telecommunications Engineering, LNICST","254","","","248","263","15","3","10.1007/978-3-030-01701-9_14","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059677976&doi=10.1007%2f978-3-030-01701-9_14&partnerID=40&md5=7eaf0a3b82594e33e92283d87d59d469","The prevalence of mobile malware has become a growing issue given the tight integration of mobile systems with our daily life. Most malware programs use URLs inside network traffic to forward commands to launch malicious activities. Therefore, the detection of malicious URLs can be essential in deterring such malicious activities. Traditional methods construct blacklists with verified URLs to identify malicious URLs, but their effectiveness is impaired by unknown malicious URLs. Recently, machine learning-based methods have been proposed for malware detection with improved performance. In this paper, we propose a novel URL detection method based on Floating Centroids Method (FCM), which integrates supervised classification and unsupervised clustering in a coherent manner. The proposed method uses the lexical features of a URL to effectively identify malicious URLs while grouping similar URLs into the same cluster. Our experimental results show that a URL cluster exhibits unique behavioral patterns that can be used for malware detection with high accuracy. Moreover, the proposed behavioral clustering method facilitates the identification of malicious URL categories and unseen malware variants. © ICST Institute for Computer Sciences, Social Informatics and Telecommunications Engineering 2018.","","Android (operating system); Cluster analysis; Computer crime; Supervised learning; Behavioral patterns; Clustering methods; Detection methods; Floating centroids methods; Malicious activities; Supervised classification; Tight integrations; Unsupervised clustering; Malware","Conference paper","Final","","Scopus","2-s2.0-85059677976"
"Trinidad A.; Vozmediano L.; San-Juan C.","Trinidad, Alexander (57207911497); Vozmediano, Laura (55452745400); San-Juan, César (12545123400)","57207911497; 55452745400; 12545123400","Environmental factors in juvenile delinquency: A systematic review of the situational perspectives’ literature","2018","Crime Psychology Review","4","1","","45","71","26","3","10.1080/23744006.2019.1591693","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063221874&doi=10.1080%2f23744006.2019.1591693&partnerID=40&md5=04c82d1e4d3e7c6cdbf959b3ca72f274","This paper aims to summarise and integrate the accumulated knowledge on recent literature analysing the situational factors of juvenile delinquency and draw future avenues for research. A review of recent empirical papers published on two relevant databases allowed us to gather a sample of 88 papers published from 2010 to 2017 that analyse the role of situational factors of delinquent behaviour using quantitative methods and applying one of the situational theories. The results highlight the robustness of some situational and environmental variables for a deeper understanding of juvenile antisocial behaviour by putting it into context. There is a considerable amount of evidence to corroborate the impact of unstructured leisure activities on antisocial behaviour, or the role of home location in establishing a geographic area of action. However, there is ambiguous evidence on other aspects: i.e. guardianship needs to be understood and measure in a more complex way, and the role of physical design of the places where juvenile delinquency happens deserves further analysis. Future research lines from this perspective are needed and will offer relevant improvements for better understanding juvenile delinquency and designing more effective preventive measures. © 2019, © 2019 Informa UK Limited, trading as Taylor & Francis Group.","antisocial behaviour; crime pattern theory; Juvenile delinquency; rational choice theory; routine activity theory; situational action theory","","Article","Final","","Scopus","2-s2.0-85063221874"
"Chen H.; Su J.; Qiao L.; Zhang Y.; Xin Q.","Chen, Hongyi (57195475031); Su, Jinshu (7401681903); Qiao, Linbo (55388192300); Zhang, Yi (58410084800); Xin, Qin (55261183300)","57195475031; 7401681903; 55388192300; 58410084800; 55261183300","Malware collusion attack against machine learning based methods: Issues and countermeasures","2018","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","11067 LNCS","","","465","477","12","0","10.1007/978-3-030-00018-9_41","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054786556&doi=10.1007%2f978-3-030-00018-9_41&partnerID=40&md5=784acb305ea2cc8ecbfb84347c71d841","Android has become the most popular platform for mobile devices, and also it has become a popular target for malware developers. At the same time, researchers have proposed a large number of methods, both static and dynamic analysis methods, to fight against malwares. Among these, Machine learning based methods are quite effective in Android malware detection, the accuracy of which can be up to 98%. Thus, malware developers have the incentives to develop more advanced malwares to evade detection. This paper presents an adversary attack pattern that will compromise current machine learning based malware detection methods. The malware developers can perform this attack easily by splitting malicious payload into two or more apps. The split apps will all be classified as benign by current methods. Thus, we proposed a method to deal with this issue. This approach, realized in a tool, called ColluDroid, can identify the collusion apps by analyzing the communication between apps. The evaluation results show that ColluDroid is effective in finding out the collusion apps. Also, we showed that it’s easy to split an app to evade detection. According to our split simulation, the evasion rate is 78%, when split into two apps; while the evasion rate comes to 94.8%, when split into three apps. © Springer Nature Switzerland AG 2018.","Android security; Collusion attack; Machine learning","Android (operating system); Artificial intelligence; Cloud computing; Computer crime; Learning systems; Network security; Android securities; Attack patterns; Collusion attack; Evaluation results; Malware detection; Number of methods; Popular platform; Static and dynamic analysis; Malware","Conference paper","Final","","Scopus","2-s2.0-85054786556"
"Xu Q.; Zheng R.; Tahoun E.","Xu, Qiang (56746798200); Zheng, Rong (57203196755); Tahoun, Ezzeldin (57200505905)","56746798200; 57203196755; 57200505905","Detecting Location Fraud in Indoor Mobile Crowdsensing","2017","CrowdSenSys 2017 - Proceedings of the 1st ACM Workshop on Mobile Crowdsensing Systems and Applications, Part of SenSys 2017","","","","44","49","5","5","10.1145/3139243.3139252","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041391187&doi=10.1145%2f3139243.3139252&partnerID=40&md5=c7dc6256af7346c2571fbd8980fdcefa","Mobile crowdsensing allows a large number of mobile devices to measure phenomena of common interests and form a body of knowledge about natural and social environments. In order to get location annotations for indoor mobile crowdsensing, reference tags are usually deployed which are susceptible to tampering and compromises by attackers. In this work, we consider three types of location-related attacks including tag forgery, tag misplacement and tag removal. Different detection algorithms are proposed to deal with these attacks. First, we introduce location-dependent fingerprints as supplementary information for better location identification. A truth discovery algorithm is then proposed to detect falsified data. Moreover, visiting patterns are utilized for the detection of tag misplacement and removal. Experiments on both crowdsensed and emulated dataset show that the proposed algorithms can detect all three types of attacks with high accuracy.","Location Fraud; Mobilw Crowdsensing; Truth Discovery","Crime; Detection algorithm; Discovery algorithm; Location dependents; Location identification; Mobilw Crowdsensing; Social environment; Supplementary information; Truth Discovery; Location","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85041391187"
"Farboodmanesh S.; Chen J.; Tao Z.; Mead J.; Zhang H.","Farboodmanesh, Samira (8530602000); Chen, J. (57203334767); Tao, Z. (7201883967); Mead, J. (7201840121); Zhang, H. (57216241072)","8530602000; 57203334767; 7201883967; 7201840121; 57216241072","Base fabrics and their interaction in coated fabrics","2018","Smart Textile Coatings and Laminates","","","","47","95","48","4","10.1016/B978-0-08-102428-7.00003-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080807134&doi=10.1016%2fB978-0-08-102428-7.00003-1&partnerID=40&md5=853885397d1f8d6882cd3e5b69989764","This chapter discusses the complex interaction between fabric architecture, coating, and mechanical response. A brief introduction to fabrics and test methods is provided. Picture frame experimental studies and modeling studies are used to explore the effect of yarn mobility (i.e., fabric weave pattern, yarn size and spacing, and coating penetration) on shear behavior. Similarly, trouser tear experiments demonstrate the effect of del zone yarn mobility on tear strength. Finally, more representative coated fabric finite element models are addressed through discussion of distinctive factors such as crimp effect, locking angle, and coating adhesion. © 2019 Elsevier Ltd. All rights reserved.","Coating thickness and penetration; Fabric and coating interaction; Finite element analysis (FEA); Shear and tear deformation; Textile architecture","","Book chapter","Final","","Scopus","2-s2.0-85080807134"
"Rahmat R.F.; Prayoga D.F.; Gunawan D.; Sitompul O.S.","Rahmat, R.F. (57193866659); Prayoga, D.F. (57204204861); Gunawan, D. (57189242525); Sitompul, O.S. (46661988300)","57193866659; 57204204861; 57189242525; 46661988300","Boyer-Moore Algorithm in Retrieving Deleted Short Message Service in Android Platform","2018","IOP Conference Series: Materials Science and Engineering","308","1","012016","","","","4","10.1088/1757-899X/308/1/012016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043263027&doi=10.1088%2f1757-899X%2f308%2f1%2f012016&partnerID=40&md5=2b7d8b6546077cd0d28c273a248bbb51","Short message service (SMS) can be used as digital evidence of disclosure of crime because it can strengthen the charges against the offenders. Criminals use various ways to destroy the evidence, including by deleting SMS. On the Android OS, SMS is stored in a SQLite database file. Deletion of SMS data is not followed by bit deletion in memory so that it is possible to rediscover the deleted SMS. Based on this case, the mobile forensic needs to be done to rediscover the short message service. The proposed method in this study is Boyer-Moore algorithm for searching string matching. An auto finds feature is designed to rediscover the short message service by searching using a particular pattern to rematch a text with the result of the hex value conversion in the database file. The system will redisplay the message for each of a match. From all the testing results, the proposed method has quite a high accuracy in rediscovering the short message service using the used dataset. The search results to rediscover the deleted SMS depend on the possibility of overwriting process and the vacuum procedure on the database file. © 2018 Institute of Physics Publishing. All rights reserved.","","Android (operating system); Database systems; Numerical analysis; Pattern matching; Statistical tests; String searching algorithms; Android platforms; Bit-deletions; Boyer-Moore algorithms; Digital evidence; High-accuracy; Mobile forensics; Short message services; String matching; Text messaging","Conference paper","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85043263027"
"Park S.J.; Park J.Y.; Yang H.K.","Park, Sung Jun (57203623713); Park, Jin Young (57034460600); Yang, Hyun Kyoung (11839558600)","57203623713; 57034460600; 11839558600","Luminescence of a novel cyan emitting Sr10(PO4)6O:Ce3+ phosphor for visualization of latent fingerprints and anti-counterfeiting applications","2018","Sensors and Actuators, B: Chemical","262","","","542","554","12","68","10.1016/j.snb.2018.02.053","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041520830&doi=10.1016%2fj.snb.2018.02.053&partnerID=40&md5=0300261bb0d1ac0ae0015abae0ecba7b","The fingerprints are commonly latent for detection at crime scenes and thus the effective way for analysis and detection of latent fingerprints is important. Currently, the traditional powder dusting method has low resolution, sensitivity, contrast and high background noise. To solve these problems, we synthesized the Ce3+ doped strontium phosphate phosphors (Sr10(PO4)6O:xCe3+, x = 0.01–0.1 mol) with cyan color by a facile solid state reaction route. The X-ray diffraction patterns of Sr10(PO4)6O:xCe3+ phosphors confirmed the hexagonal phase. The emission peak centered at 472 nm is attributed to 5D3/2 → 7FJ transitions (J = 7/2 and 5/2) of Ce3+ ions with the CIE coordinates value of (x = 0.171, y = 0.256). Using Sr10(PO4)6O:Ce3+ phosphors, the latent fingerprints with various ridge shapes (arch, whorl and loop) and on substrates (glass, aluminum foil, stainless steel, compact disk and credit card) exhibited excellent visualization and sensitivity with clear ridges under 254 nm UV illumination. The results indicate that Sr10(PO4)6O:Ce3+ phosphors can be effectively used in fingerprint identification and anti-counterfeiting applications. © 2018 Elsevier B.V.","Anti-counterfeiting; Fingerprint; Luminescence; Optical materials; Phosphors","Light emission; Luminescence; Mobile devices; Optical materials; Palmprint recognition; Phosphors; Solid state reactions; Stainless steel; Strontium alloys; Visualization; X ray diffraction; Anti-counterfeiting; Background noise; Fingerprint; Fingerprint identification; Latent fingerprint; Solid state reaction route; Strontium phosphates; UV illuminations; Pattern recognition","Article","Final","","Scopus","2-s2.0-85041520830"
"Wang W.; Tao H.; Zhuo L.; Li M.; Li X.; Wang K.; Shi Q.","Wang, Wei (59448315900); Tao, Haiyan (19639447000); Zhuo, Li (57201062664); Li, Min (57849676900); Li, Xuliang (57188635230); Wang, Keli (57200415344); Shi, Qingli (57202823454)","59448315900; 19639447000; 57201062664; 57849676900; 57188635230; 57200415344; 57202823454","Spatio-temporal Analysis of Pseudo Base Stations in Beijing Downtown; [北京主城区伪基站时空规律分析]","2018","Journal of Geo-Information Science","20","7","","978","987","9","4","10.12082/dqxxkx.2018.170430","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129520845&doi=10.12082%2fdqxxkx.2018.170430&partnerID=40&md5=d7eab320f538c64e01d47d325b5b7d2b","The rampant pseudo base stations have become a major public hazard. They undermine the normal telecommunications order, endanger public safety, seriously infringe the property rights of the masses, and violate citizen privacy. How to dig out the spatio-temporal patterns of the pseudo base stations'activities from massive spam messages, design effective prevention and control programs, and fight against the crime from the source, has become the focus of government agencies and researchers. The traditional methods for identifying pseudo base stations through the user terminal, however, face great challenges in terms of accuracy, comprehensiveness, and analytical ability, which no longer meet the requirements of identifying small-scale and mobile pseudo base stations. Utilizing data on the spam messages from February 23rd, 2017 to April 26th, 2017 in Beijing, this paper analyzes the spatio-temporal distribution of pseudo base stations through non-negative matrix factorization. We also constructed a classification model through TF-IDF (Term Frequency- Inverse Document Frequency) which compares types from different classifiers (k-Nearest Neighbors / K-Support Vector Machine / Random Forest/ Single- Layer Neural Network) and selects the most accurate random forest classification method. Combined with the land use data, we analyzed the spatio-temporal distribution of pseudo base stations that send different types of spam messages. The results of non-negative matrix factorization and spam message classification were analyzed in detail. The results show that most of the spam messages in Beijing are sent along the road network and in the central city. The number of spam messages during the day is much more than that during the evening. As time goes by in the day, the distribution of spam messages along the road network gradually shrinks inward. The pseudo base stations that send different types of spam messages differ in the spatio-temporal distribution, but all of them favor the traffic facilities and residential area within the Fourth Ring. The non-negative matrix factorization, which provides reliable results that match with traditional spam message classification, has shown simplicity in performing the analysis and interpretability in the form and result of the decomposition. It can help understand the spatio- temporal patterns of different types of spam messages and provide evident-based suggestions for government agencies to fight against the pseudo base stations effectively. By targeting the source of the spam messages, it is also beneficial for governments to combat the illegal behaviors based on pseudo base stations. © 2018, Science Press. All right reserved.","Beijing; Non-negative matrix factorization; Spam messages; Spatio-temporal patterns; Visualization analysis","","Article","Final","","Scopus","2-s2.0-85129520845"
"Tao G.; Zheng Z.; Guo Z.; Lyu M.R.","Tao, Guanhong (57209545399); Zheng, Zibin (25224189400); Guo, Ziying (57200120173); Lyu, Michael R. (7006811415)","57209545399; 25224189400; 57200120173; 7006811415","MalPat: Mining Patterns of Malicious and Benign Android Apps via Permission-Related APIs","2018","IEEE Transactions on Reliability","67","1","","355","369","14","87","10.1109/TR.2017.2778147","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039793820&doi=10.1109%2fTR.2017.2778147&partnerID=40&md5=1ab8287064e6ae8162f0ad228ff7cf64","The dramatic rise of Android application (app) marketplaces has significantly gained the success of convenience for mobile users. Consequently, with the advantage of numerous Android apps, Android malware seizes the opportunity to steal privacy-sensitive data by pretending to provide functionalities as benign apps do. To distinguish malware from millions of Android apps, researchers have proposed sophisticated static and dynamic analysis tools to automatically detect and classify malicious apps. Most of these tools, however, rely on manual configuration of lists of features based on permissions, sensitive resources, intents, etc., which are difficult to come by. To address this problem, we study real-world Android apps to mine hidden patterns of malware and are able to extract highly sensitive APIs that are widely used in Android malware. We also implement an automated malware detection system, MalPat, to fight against malware and assist Android app marketplaces to address unknown malicious apps. Comprehensive experiments are conducted on our dataset consisting of 31 185 benign apps and 15 336 malware samples. Experimental results show that MalPat is capable of detecting malware with a high F1 score (98.24%) comparing with the state-of-the-art approaches. © 2018 IEEE.","Android applications; malware detection; permission-related APIs; random forests; software security","Android (operating system); Anthropomorphic robots; Application programs; Commerce; Computer crime; Data mining; Decision trees; Feature extraction; Malware; Mobile telecommunication systems; Android applications; Androids; Humanoid robot; Malware detection; Mobile communications; permission-related APIs; Random forests; Security; Software security; Mobile security","Article","Final","","Scopus","2-s2.0-85039793820"
"Mamais S.S.; Theodorakopoulos G.","Mamais, Stylianos S. (57194168519); Theodorakopoulos, George (12544720600)","57194168519; 12544720600","Behavioural verification: Preventing report fraud in decentralized advert distribution systems","2017","Future Internet","9","4","88","","","","7","10.3390/fi9040088","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034571329&doi=10.3390%2ffi9040088&partnerID=40&md5=6f0ab085361ba1077307743192a4e86f","Service commissions, which are claimed by Ad-Networks and Publishers, are susceptible to forgery as non-human operators are able to artificially create fictitious traffic on digital platforms for the purpose of committing financial fraud. This places a significant strain on Advertisers who have no effective means of differentiating fabricated Ad-Reports from those which correspond to real consumer activity. To address this problem, we contribute an advert reporting system which utilizes opportunistic networking and a blockchain-inspired construction in order to identify authentic Ad-Reports by determining whether they were composed by honest or dishonest users. What constitutes a user's honesty for our system is the manner in which they access adverts on their mobile device. Dishonest users submit multiple reports over a short period of time while honest users behave as consumers who view adverts at a balanced pace while engaging in typical social activities such as purchasing goods online, moving through space and interacting with other users. We argue that it is hard for dishonest users to fake honest behaviour and we exploit the behavioural patterns of users in order to classify Ad-Reports as real or fabricated. By determining the honesty of the user who submitted a particular report, our system offers a more secure reward-claiming model which protects against fraud while still preserving the user's anonymity. © 2017 by the authors.","Advertising; Click report; Fraud prevention; Mobile networks; Privacy-preserving advertising","Data privacy; Marketing; Mobile devices; Wireless networks; Click report; Digital platforms; Distribution systems; Fraud prevention; Opportunistic networking; Privacy preserving; Reporting systems; Social activities; Crime","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85034571329"
"Acampora G.; Bernardi M.L.; Cimitile M.; Tortora G.; Vitiello A.","Acampora, Giovanni (9732839200); Bernardi, Mario Luca (57195515766); Cimitile, Marta (23392132800); Tortora, Genoveffa (35587906400); Vitiello, Autilia (36633662500)","9732839200; 57195515766; 23392132800; 35587906400; 36633662500","A fuzzy clustering-based approach to study malware phylogeny","2018","IEEE International Conference on Fuzzy Systems","2018-July","","8491625","","","","13","10.1109/FUZZ-IEEE.2018.8491625","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060436490&doi=10.1109%2fFUZZ-IEEE.2018.8491625&partnerID=40&md5=60fcf77d1f1c2c0325d3d7a64341b54d","Mobile devices are always more diffused in the last years, allowing the users to perform several tasks: communication, web surfing, requiring web services. Given the high amount of sensitive data and operations related to these tasks, securing the mobile devices is becoming a very critical issue. As matter of the fact, malware attacks are on the rise and new mobile malware are continually generated with the aim of stealing private data and performing illegal activities. Since this new malware is mainly obtained by reusing existing malicious code, malware detection is supported by the study and the tracking of the mobile malware phylogeny. This paper proposes a malware phylogeny model obtained by a declarative Process Mining (PM) approach from the analysis of some running malware applications. The main idea is that the set of relations and recurring execution patterns among the syscalls of a running malware application can be modeled to obtain a malware fingerprint. The malware fingerprints are compared and classified by using a fuzzy clustering algorithm to recover the malware phylogeny map of all the considered malware families. The evaluation of the proposed approach is performed on a dataset of more than 4,000 infected applications across 39 malware families obtaining very encouraging results. © 2018 IEEE.","","Biology; Clustering algorithms; Computer crime; Fuzzy clustering; Fuzzy systems; Web services; Critical issues; Illegal activities; Malicious codes; Malware attacks; Malware detection; Malware families; Process mining; Sensitive datas; Malware","Conference paper","Final","","Scopus","2-s2.0-85060436490"
"Koli J.D.","Koli, J.D. (57202937764)","57202937764","RanDroid: Android malware detection using random machine learning classifiers","2018","International Conference on Technologies for Smart City Energy Security and Power: Smart Solutions for Smart Cities, ICSESP 2018 - Proceedings","2018-January","","","1","6","5","42","10.1109/ICSESP.2018.8376705","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049904647&doi=10.1109%2fICSESP.2018.8376705&partnerID=40&md5=8adf33481d0ad264c56919e280aec850","The growing polularity of Android based smartphone attracted the distribution of malicious applications developed by attackers which resulted the need for sophisticated malware detection techniques. Several techniques are proposed which use static and/or dynamic features extracted from android application to detect malware. The use of machine learning is adapted in various malware detection techniques to overcome the mannual updation overhead. Machine learning classifiers are widely used to model Android malware patterns based on their static features and dynamic behaviour. To address the problem of malware detection, in this paper we have proposed a machine learning-based malware detection system for Android platform. Our proposed system utilizes the features of collected random samples of goodware and malware apps to train the classifiers. The system extracts requested permissions, vulnerable API calls along with the existence of app's key information such as; dynamic code, reflection code, native code, cryptographic code and database from applications, which was missing in previous proposed solutions and uses them as features in various machine learning classifiers to build classification model. To validate the performance of proposed system, 'RanDroid' various experiments have been carriedout, which show that the RanDroid is capable to achieve a high classification accuracy of 97.7 percent. © 2018 IEEE.","Android Mobile Security; Machine Learning; Malware Analysis","Artificial intelligence; Classification (of information); Codes (symbols); Computer crime; Energy security; Learning systems; Malware; Smart city; Android applications; Android platforms; Classification accuracy; Classification models; Cryptographic codes; Dynamic behaviours; Malware analysis; Malware detection; Android (operating system)","Conference paper","Final","","Scopus","2-s2.0-85049904647"
"Mohsen F.; Bisgin H.; Scott Z.; Strait K.","Mohsen, Fadi (55948102500); Bisgin, Halil (36633895000); Scott, Zachary (36867660700); Strait, Kyle (57201976796)","55948102500; 36633895000; 36867660700; 57201976796","Detecting Android Malwares by Mining Statically Registered Broadcast Receivers","2017","Proceedings - 2017 IEEE 3rd International Conference on Collaboration and Internet Computing, CIC 2017","2017-January","","","67","76","9","5","10.1109/CIC.2017.00021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046663200&doi=10.1109%2fCIC.2017.00021&partnerID=40&md5=f0d04ff80888c0edf4b1ce9ebe796a47","Android has a large share in the mobile apps market which makes it attractive for both malicious and good developers. Online apps markets, despite their vetting procedures, still admit malicious apps that could be downloaded mistakenly by mobile users. Detecting Android malwares has been studied by many researchers using different approaches and techniques. The vast majority of them though were focused on using the requested permissions that are declared in the AndroidManifest. xml files. A number of researchers have considered other components of the Android applications besides the permissions such as package info, activities, and process name. Some researchers pointed out Android Broadcast receivers' component but it was not discussed thoroughly like other components. In this paper, we are conducting an empirical study to investigate the usage patterns of the Broadcast receivers component by malicious and benign Android applications. In addition to processing the AndroidManifest. xml files, the source code of malware samples, in particular the onReceive() are manually analyzed. We also propose a data mining malware detection mechanism based on the statically registered Broadcast receivers. Our research shows that Android Broadcast receivers are intensively used by malware compared to benign applications. Our Java code analysis shows that malware samples fully utilize Broadcast receivers compared to benign apps. Finally, our experiments showed that using the Broadcast receivers with permissions improves the malwares prediction accuracy. © 2017 IEEE.","Android; apps; Broadcast; malware; market; permissions; privacy","Application programs; Broadcasting; Commerce; Computer crime; Data mining; Data privacy; Malware; Marketing; Signal receivers; Android; Android applications; Broadcast receivers; Empirical studies; Java code analysis; Malware detection; permissions; Prediction accuracy; Android (operating system)","Conference paper","Final","","Scopus","2-s2.0-85046663200"
"Idrees F.; Rajarajan M.; Chen T.M.; Rahulamathavan Y.; Naureen A.","Idrees, Fauzia (56132454600); Rajarajan, Muttukrishnan (7003797040); Chen, Thomas M (7405544431); Rahulamathavan, Yogachandran (35226616800); Naureen, Ayesha (24475439200)","56132454600; 7003797040; 7405544431; 35226616800; 24475439200","AndroPIn: Correlating Android permissions and intents for malware detection","2017","2017 8th IEEE Annual Information Technology, Electronics and Mobile Communication Conference, IEMCON 2017","","","8117152","394","399","5","5","10.1109/IEMCON.2017.8117152","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045832093&doi=10.1109%2fIEMCON.2017.8117152&partnerID=40&md5=df101227d55be6626f954299e9e45b37","Smartphone have become a prime target for cyber criminals. Android being the market leader is the major target of malicious attackers. Covert techniques used by the malware make them hard to detect with signature based methods. In this paper, we present AndroPIn - a novel Android based malware detection tool using Permissions and Intents. The proposed framework overcomes the limitation of stealthy techniques used by malware by exploiting the usage pattern of permissions and intents. These features, which play a major role in sharing user data and device resources cannot be obfuscated or altered. These vital features are well suited for resource constrained smartphones. Experimental evaluation on a corpus of real-world malware and benign apps demonstrate that the proposed algorithm can effectively detect malicious apps with a low runtime overheads and is resilient to common obfuscations methods. © 2017 IEEE.","Feature correlation; Intents; Malware detection; Permission","Computer crime; Malware; Mobile telecommunication systems; Smartphones; Cyber criminals; Device resources; Experimental evaluation; Feature correlation; Intents; Malware detection; Permission; Runtime overheads; Android (operating system)","Conference paper","Final","","Scopus","2-s2.0-85045832093"
"Barmpatsalou K.; Cruz T.; Monteiro E.; Simoes P.","Barmpatsalou, Konstantia (57200389490); Cruz, Tiago (36974929400); Monteiro, Edmundo (7102113849); Simoes, Paulo (57203241452)","57200389490; 36974929400; 7102113849; 57203241452","Fuzzy system-based suspicious pattern detection in mobile forensic evidence","2018","Lecture Notes of the Institute for Computer Sciences, Social-Informatics and Telecommunications Engineering, LNICST","216","","","106","114","8","1","10.1007/978-3-319-73697-6_8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041106217&doi=10.1007%2f978-3-319-73697-6_8&partnerID=40&md5=1113353978aeb97b4aa52a28f0346089","Advances in Soft Computing have increased the probabilities of implementing mechanisms that are able to predict human behaviour. One of the fields that benefits more from the particular improvements are Digital Forensics. Criminal activity involving smartphones shows interesting behavioural variations that led the authors to create a technique that analyzes smartphone users’ activity and recognizes potentially suspicious patterns according to predefined expert knowledge in actual use case scenarios by the use of fuzzy systems with different configurations. © ICST Institute for Computer Sciences, Social Informatics and Telecommunications Engineering 2018.","Fuzzy systems; Membership functions; Mobile forensics","Behavioral research; Computer crime; Computer forensics; Crime; Electronic crime countermeasures; Fuzzy systems; Membership functions; Pattern recognition; Smartphones; Soft computing; Actual use; Criminal activities; Expert knowledge; Human behaviours; Mobile forensics; Pattern detection; Digital forensics","Conference paper","Final","","Scopus","2-s2.0-85041106217"
